edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.000 precision:0.984 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:713 false_negative:0 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.050 precision:0.998 recall:0.702 true_negative_rate:0.907 true_positive:31291 true_negative:647 false_positive:66 false_negative:13296 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.100 precision:0.999 recall:0.441 true_negative_rate:0.973 true_positive:19682 true_negative:694 false_positive:19 false_negative:24905 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.303 true_negative_rate:0.983 true_positive:13507 true_negative:701 false_positive:12 false_negative:31080 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.216 true_negative_rate:0.986 true_positive:9637 true_negative:703 false_positive:10 false_negative:34950 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.165 true_negative_rate:0.997 true_positive:7379 true_negative:711 false_positive:2 false_negative:37208 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5717 true_negative:713 false_positive:0 false_negative:38870 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:4884 true_negative:713 false_positive:0 false_negative:39703 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.088 true_negative_rate:1.000 true_positive:3944 true_negative:713 false_positive:0 false_negative:40643 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3616 true_negative:713 false_positive:0 false_negative:40971 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3320 true_negative:713 false_positive:0 false_negative:41267 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:713 false_positive:0 false_negative:41478 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3050 true_negative:713 false_positive:0 false_negative:41537 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2697 true_negative:713 false_positive:0 false_negative:41890 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:672 true_negative:713 false_positive:0 false_negative:43915 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:400 true_negative:713 false_positive:0 false_negative:44187 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:713 false_positive:0 false_negative:44581 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:713 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:713 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:713 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_8_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:713 false_positive:0 false_negative:44586 
