fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.000 precision:0.691 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:6654 false_negative:0 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.050 precision:0.676 recall:0.917 true_negative_rate:0.018 true_positive:13656 true_negative:117 false_positive:6537 false_negative:1237 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.100 precision:0.665 recall:0.809 true_negative_rate:0.087 true_positive:12042 true_negative:577 false_positive:6077 false_negative:2851 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.150 precision:0.654 recall:0.682 true_negative_rate:0.193 true_positive:10162 true_negative:1287 false_positive:5367 false_negative:4731 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.200 precision:0.698 recall:0.570 true_negative_rate:0.448 true_positive:8483 true_negative:2978 false_positive:3676 false_negative:6410 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.250 precision:0.821 recall:0.494 true_negative_rate:0.758 true_positive:7359 true_negative:5047 false_positive:1607 false_negative:7534 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.300 precision:0.966 recall:0.424 true_negative_rate:0.966 true_positive:6314 true_negative:6431 false_positive:223 false_negative:8579 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.350 precision:0.997 recall:0.380 true_negative_rate:0.997 true_positive:5660 true_negative:6635 false_positive:19 false_negative:9233 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.400 precision:0.999 recall:0.333 true_negative_rate:0.999 true_positive:4962 true_negative:6647 false_positive:7 false_negative:9931 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.293 true_negative_rate:1.000 true_positive:4368 true_negative:6652 false_positive:2 false_negative:10525 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.500 precision:0.999 recall:0.261 true_negative_rate:1.000 true_positive:3884 true_negative:6652 false_positive:2 false_negative:11009 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.228 true_negative_rate:1.000 true_positive:3395 true_negative:6653 false_positive:1 false_negative:11498 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.194 true_negative_rate:1.000 true_positive:2894 true_negative:6654 false_positive:0 false_negative:11999 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.156 true_negative_rate:1.000 true_positive:2322 true_negative:6654 false_positive:0 false_negative:12571 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.122 true_negative_rate:1.000 true_positive:1815 true_negative:6654 false_positive:0 false_negative:13078 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.094 true_negative_rate:1.000 true_positive:1402 true_negative:6654 false_positive:0 false_negative:13491 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:911 true_negative:6654 false_positive:0 false_negative:13982 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.030 true_negative_rate:1.000 true_positive:443 true_negative:6654 false_positive:0 false_negative:14450 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:168 true_negative:6654 false_positive:0 false_negative:14725 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:37 true_negative:6654 false_positive:0 false_negative:14856 
fr101_ocount_20_osize_34_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:6654 false_positive:0 false_negative:14892 
