edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.000 precision:0.949 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:2417 false_negative:0 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.050 precision:0.993 recall:0.705 true_negative_rate:0.911 true_positive:31415 true_negative:2202 false_positive:215 false_negative:13172 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.100 precision:0.998 recall:0.443 true_negative_rate:0.981 true_positive:19733 true_negative:2371 false_positive:46 false_negative:24854 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.150 precision:1.000 recall:0.304 true_negative_rate:0.998 true_positive:13563 true_negative:2413 false_positive:4 false_negative:31024 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.217 true_negative_rate:1.000 true_positive:9664 true_negative:2417 false_positive:0 false_negative:34923 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.165 true_negative_rate:1.000 true_positive:7373 true_negative:2417 false_positive:0 false_negative:37214 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5724 true_negative:2417 false_positive:0 false_negative:38863 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4867 true_negative:2417 false_positive:0 false_negative:39720 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.088 true_negative_rate:1.000 true_positive:3941 true_negative:2417 false_positive:0 false_negative:40646 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3623 true_negative:2417 false_positive:0 false_negative:40964 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3319 true_negative:2417 false_positive:0 false_negative:41268 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:2417 false_positive:0 false_negative:41478 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3050 true_negative:2417 false_positive:0 false_negative:41537 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2697 true_negative:2417 false_positive:0 false_negative:41890 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:672 true_negative:2417 false_positive:0 false_negative:43915 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:400 true_negative:2417 false_positive:0 false_negative:44187 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:2417 false_positive:0 false_negative:44581 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2417 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2417 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2417 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_6_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2417 false_positive:0 false_negative:44586 
