edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.000 precision:0.497 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:45096 false_negative:0 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.050 precision:0.444 recall:0.767 true_negative_rate:0.050 true_positive:34214 true_negative:2242 false_positive:42854 false_negative:10373 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.100 precision:0.459 recall:0.516 true_negative_rate:0.398 true_positive:23010 true_negative:17951 false_positive:27145 false_negative:21577 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.150 precision:0.708 recall:0.353 true_negative_rate:0.856 true_positive:15720 true_negative:38624 false_positive:6472 false_negative:28867 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.200 precision:0.901 recall:0.241 true_negative_rate:0.974 true_positive:10743 true_negative:43920 false_positive:1176 false_negative:33844 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.250 precision:0.971 recall:0.177 true_negative_rate:0.995 true_positive:7913 true_negative:44860 false_positive:236 false_negative:36674 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.300 precision:0.983 recall:0.137 true_negative_rate:0.998 true_positive:6113 true_negative:44988 false_positive:108 false_negative:38474 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.350 precision:0.987 recall:0.112 true_negative_rate:0.999 true_positive:4974 true_negative:45031 false_positive:65 false_negative:39613 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.400 precision:0.994 recall:0.093 true_negative_rate:0.999 true_positive:4131 true_negative:45072 false_positive:24 false_negative:40456 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.450 precision:0.994 recall:0.083 true_negative_rate:1.000 true_positive:3693 true_negative:45075 false_positive:21 false_negative:40894 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.500 precision:0.998 recall:0.075 true_negative_rate:1.000 true_positive:3325 true_negative:45091 false_positive:5 false_negative:41262 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.550 precision:0.998 recall:0.072 true_negative_rate:1.000 true_positive:3207 true_negative:45091 false_positive:5 false_negative:41380 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3032 true_negative:45096 false_positive:0 false_negative:41555 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.062 true_negative_rate:1.000 true_positive:2752 true_negative:45096 false_positive:0 false_negative:41835 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.020 true_negative_rate:1.000 true_positive:905 true_negative:45096 false_positive:0 false_negative:43682 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:383 true_negative:45096 false_positive:0 false_negative:44204 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:10 true_negative:45096 false_positive:0 false_negative:44577 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:45096 false_positive:0 false_negative:44586 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:45096 false_positive:0 false_negative:44586 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:45096 false_positive:0 false_negative:44586 
edmonton_ocount_120_osize_35_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:45096 false_positive:0 false_negative:44586 
