csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.000 precision:0.870 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:2514 false_negative:0 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.050 precision:0.882 recall:0.970 true_negative_rate:0.132 true_positive:16352 true_negative:333 false_positive:2181 false_negative:505 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.100 precision:0.925 recall:0.869 true_negative_rate:0.526 true_positive:14648 true_negative:1322 false_positive:1192 false_negative:2209 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.150 precision:0.960 recall:0.703 true_negative_rate:0.805 true_positive:11846 true_negative:2024 false_positive:490 false_negative:5011 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.200 precision:0.974 recall:0.508 true_negative_rate:0.909 true_positive:8561 true_negative:2285 false_positive:229 false_negative:8296 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.250 precision:0.988 recall:0.361 true_negative_rate:0.970 true_positive:6077 true_negative:2439 false_positive:75 false_negative:10780 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.300 precision:0.994 recall:0.263 true_negative_rate:0.989 true_positive:4437 true_negative:2487 false_positive:27 false_negative:12420 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.350 precision:0.996 recall:0.199 true_negative_rate:0.994 true_positive:3350 true_negative:2500 false_positive:14 false_negative:13507 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.400 precision:0.998 recall:0.143 true_negative_rate:0.998 true_positive:2418 true_negative:2510 false_positive:4 false_negative:14439 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.450 precision:0.999 recall:0.098 true_negative_rate:0.999 true_positive:1652 true_negative:2512 false_positive:2 false_negative:15205 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.064 true_negative_rate:1.000 true_positive:1074 true_negative:2514 false_positive:0 false_negative:15783 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.038 true_negative_rate:1.000 true_positive:644 true_negative:2514 false_positive:0 false_negative:16213 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:361 true_negative:2514 false_positive:0 false_negative:16496 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:162 true_negative:2514 false_positive:0 false_negative:16695 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:58 true_negative:2514 false_positive:0 false_negative:16799 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:26 true_negative:2514 false_positive:0 false_negative:16831 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:19 true_negative:2514 false_positive:0 false_negative:16838 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:13 true_negative:2514 false_positive:0 false_negative:16844 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:4 true_negative:2514 false_positive:0 false_negative:16853 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:2514 false_positive:0 false_negative:16854 
csail_ocount_180_osize_7_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2514 false_positive:0 false_negative:16856 
