aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.000 precision:0.979 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:797 false_negative:0 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.050 precision:0.985 recall:0.860 true_negative_rate:0.363 true_positive:32506 true_negative:289 false_positive:508 false_negative:5289 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.100 precision:0.999 recall:0.718 true_negative_rate:0.952 true_positive:27138 true_negative:759 false_positive:38 false_negative:10657 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.617 true_negative_rate:0.977 true_positive:23338 true_negative:779 false_positive:18 false_negative:14457 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.540 true_negative_rate:0.982 true_positive:20405 true_negative:783 false_positive:14 false_negative:17390 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.476 true_negative_rate:0.989 true_positive:17984 true_negative:788 false_positive:9 false_negative:19811 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.300 precision:0.999 recall:0.420 true_negative_rate:0.989 true_positive:15865 true_negative:788 false_positive:9 false_negative:21930 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.356 true_negative_rate:0.989 true_positive:13469 true_negative:788 false_positive:9 false_negative:24326 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:0.994 true_positive:10827 true_negative:792 false_positive:5 false_negative:26968 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:1.000 true_positive:8706 true_negative:797 false_positive:0 false_negative:29089 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6961 true_negative:797 false_positive:0 false_negative:30834 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:5336 true_negative:797 false_positive:0 false_negative:32459 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3781 true_negative:797 false_positive:0 false_negative:34014 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2516 true_negative:797 false_positive:0 false_negative:35279 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1299 true_negative:797 false_positive:0 false_negative:36496 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:498 true_negative:797 false_positive:0 false_negative:37297 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:57 true_negative:797 false_positive:0 false_negative:37738 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:797 false_positive:0 false_negative:37760 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:797 false_positive:0 false_negative:37770 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:797 false_positive:0 false_negative:37783 
aces_publicb_ocount_20_osize_10_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:797 false_positive:0 false_negative:37794 
