edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.000 precision:0.955 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:2110 false_negative:0 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.050 precision:0.991 recall:0.706 true_negative_rate:0.867 true_positive:31498 true_negative:1829 false_positive:281 false_negative:13089 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.100 precision:0.999 recall:0.442 true_negative_rate:0.990 true_positive:19704 true_negative:2089 false_positive:21 false_negative:24883 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.304 true_negative_rate:0.997 true_positive:13538 true_negative:2103 false_positive:7 false_negative:31049 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.217 true_negative_rate:0.998 true_positive:9667 true_negative:2106 false_positive:4 false_negative:34920 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.165 true_negative_rate:1.000 true_positive:7365 true_negative:2109 false_positive:1 false_negative:37222 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5717 true_negative:2110 false_positive:0 false_negative:38870 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4880 true_negative:2110 false_positive:0 false_negative:39707 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3960 true_negative:2110 false_positive:0 false_negative:40627 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3623 true_negative:2110 false_positive:0 false_negative:40964 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3333 true_negative:2110 false_positive:0 false_negative:41254 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:2110 false_positive:0 false_negative:41478 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3051 true_negative:2110 false_positive:0 false_negative:41536 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2694 true_negative:2110 false_positive:0 false_negative:41893 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:684 true_negative:2110 false_positive:0 false_negative:43903 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:402 true_negative:2110 false_positive:0 false_negative:44185 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:2110 false_positive:0 false_negative:44580 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2110 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2110 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2110 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_8_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2110 false_positive:0 false_negative:44586 
