fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.000 precision:0.896 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:1731 false_negative:0 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.050 precision:0.946 recall:0.920 true_negative_rate:0.550 true_positive:13709 true_negative:952 false_positive:779 false_negative:1184 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.100 precision:0.992 recall:0.802 true_negative_rate:0.943 true_positive:11949 true_negative:1633 false_positive:98 false_negative:2944 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.150 precision:0.997 recall:0.669 true_negative_rate:0.983 true_positive:9956 true_negative:1701 false_positive:30 false_negative:4937 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.552 true_negative_rate:0.994 true_positive:8217 true_negative:1721 false_positive:10 false_negative:6676 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.479 true_negative_rate:0.996 true_positive:7131 true_negative:1724 false_positive:7 false_negative:7762 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.300 precision:0.999 recall:0.419 true_negative_rate:0.998 true_positive:6237 true_negative:1727 false_positive:4 false_negative:8656 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.378 true_negative_rate:0.998 true_positive:5631 true_negative:1727 false_positive:4 false_negative:9262 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.400 precision:0.999 recall:0.334 true_negative_rate:0.998 true_positive:4971 true_negative:1728 false_positive:3 false_negative:9922 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.289 true_negative_rate:1.000 true_positive:4311 true_negative:1731 false_positive:0 false_negative:10582 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.258 true_negative_rate:1.000 true_positive:3840 true_negative:1731 false_positive:0 false_negative:11053 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.224 true_negative_rate:1.000 true_positive:3341 true_negative:1731 false_positive:0 false_negative:11552 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.195 true_negative_rate:1.000 true_positive:2900 true_negative:1731 false_positive:0 false_negative:11993 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.154 true_negative_rate:1.000 true_positive:2295 true_negative:1731 false_positive:0 false_negative:12598 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.121 true_negative_rate:1.000 true_positive:1797 true_negative:1731 false_positive:0 false_negative:13096 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:1354 true_negative:1731 false_positive:0 false_negative:13539 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:903 true_negative:1731 false_positive:0 false_negative:13990 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:416 true_negative:1731 false_positive:0 false_negative:14477 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:142 true_negative:1731 false_positive:0 false_negative:14751 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:35 true_negative:1731 false_positive:0 false_negative:14858 
fr101_ocount_160_osize_5_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1731 false_positive:0 false_negative:14892 
