edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.000 precision:0.969 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:1443 false_negative:0 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.050 precision:0.997 recall:0.704 true_negative_rate:0.934 true_positive:31370 true_negative:1348 false_positive:95 false_negative:13217 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.100 precision:0.999 recall:0.442 true_negative_rate:0.982 true_positive:19687 true_negative:1417 false_positive:26 false_negative:24900 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.303 true_negative_rate:0.992 true_positive:13520 true_negative:1431 false_positive:12 false_negative:31067 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.217 true_negative_rate:0.998 true_positive:9657 true_negative:1440 false_positive:3 false_negative:34930 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.165 true_negative_rate:0.999 true_positive:7376 true_negative:1442 false_positive:1 false_negative:37211 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5701 true_negative:1443 false_positive:0 false_negative:38886 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4868 true_negative:1443 false_positive:0 false_negative:39719 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3946 true_negative:1443 false_positive:0 false_negative:40641 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3620 true_negative:1443 false_positive:0 false_negative:40967 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3321 true_negative:1443 false_positive:0 false_negative:41266 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:1443 false_positive:0 false_negative:41478 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.069 true_negative_rate:1.000 true_positive:3055 true_negative:1443 false_positive:0 false_negative:41532 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2698 true_negative:1443 false_positive:0 false_negative:41889 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:665 true_negative:1443 false_positive:0 false_negative:43922 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:400 true_negative:1443 false_positive:0 false_negative:44187 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:1443 false_positive:0 false_negative:44581 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1443 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1443 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1443 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_5_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1443 false_positive:0 false_negative:44586 
