fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.000 precision:0.517 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:13912 false_negative:0 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.050 precision:0.504 recall:0.925 true_negative_rate:0.024 true_positive:13771 true_negative:340 false_positive:13572 false_negative:1122 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.100 precision:0.498 recall:0.817 true_negative_rate:0.120 true_positive:12162 true_negative:1676 false_positive:12236 false_negative:2731 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.150 precision:0.540 recall:0.686 true_negative_rate:0.373 true_positive:10224 true_negative:5195 false_positive:8717 false_negative:4669 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.200 precision:0.646 recall:0.577 true_negative_rate:0.661 true_positive:8595 true_negative:9202 false_positive:4710 false_negative:6298 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.250 precision:0.768 recall:0.489 true_negative_rate:0.842 true_positive:7290 true_negative:11715 false_positive:2197 false_negative:7603 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.300 precision:0.882 recall:0.428 true_negative_rate:0.939 true_positive:6369 true_negative:13064 false_positive:848 false_negative:8524 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.350 precision:0.967 recall:0.389 true_negative_rate:0.986 true_positive:5790 true_negative:13716 false_positive:196 false_negative:9103 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.400 precision:0.992 recall:0.342 true_negative_rate:0.997 true_positive:5087 true_negative:13870 false_positive:42 false_negative:9806 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.450 precision:0.998 recall:0.292 true_negative_rate:0.999 true_positive:4355 true_negative:13905 false_positive:7 false_negative:10538 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.256 true_negative_rate:1.000 true_positive:3811 true_negative:13912 false_positive:0 false_negative:11082 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.222 true_negative_rate:1.000 true_positive:3302 true_negative:13912 false_positive:0 false_negative:11591 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.189 true_negative_rate:1.000 true_positive:2816 true_negative:13912 false_positive:0 false_negative:12077 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.155 true_negative_rate:1.000 true_positive:2304 true_negative:13912 false_positive:0 false_negative:12589 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.116 true_negative_rate:1.000 true_positive:1732 true_negative:13912 false_positive:0 false_negative:13161 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.086 true_negative_rate:1.000 true_positive:1282 true_negative:13912 false_positive:0 false_negative:13611 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.051 true_negative_rate:1.000 true_positive:766 true_negative:13912 false_positive:0 false_negative:14127 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:316 true_negative:13912 false_positive:0 false_negative:14577 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:102 true_negative:13912 false_positive:0 false_negative:14791 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:32 true_negative:13912 false_positive:0 false_negative:14861 
fr101_ocount_80_osize_24_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:13912 false_positive:0 false_negative:14892 
