fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.000 precision:0.910 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:1464 false_negative:0 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.050 precision:0.910 recall:0.921 true_negative_rate:0.077 true_positive:13711 true_negative:112 false_positive:1352 false_negative:1182 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.100 precision:0.942 recall:0.802 true_negative_rate:0.501 true_positive:11948 true_negative:734 false_positive:730 false_negative:2945 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.150 precision:0.979 recall:0.672 true_negative_rate:0.852 true_positive:10005 true_negative:1248 false_positive:216 false_negative:4888 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.200 precision:0.992 recall:0.555 true_negative_rate:0.954 true_positive:8271 true_negative:1397 false_positive:67 false_negative:6622 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.250 precision:0.996 recall:0.479 true_negative_rate:0.980 true_positive:7131 true_negative:1435 false_positive:29 false_negative:7762 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.300 precision:0.996 recall:0.419 true_negative_rate:0.981 true_positive:6247 true_negative:1436 false_positive:28 false_negative:8646 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.350 precision:0.998 recall:0.378 true_negative_rate:0.992 true_positive:5636 true_negative:1453 false_positive:11 false_negative:9257 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.400 precision:0.998 recall:0.334 true_negative_rate:0.995 true_positive:4979 true_negative:1456 false_positive:8 false_negative:9914 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.293 true_negative_rate:1.000 true_positive:4359 true_negative:1464 false_positive:0 false_negative:10534 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.260 true_negative_rate:1.000 true_positive:3869 true_negative:1464 false_positive:0 false_negative:11024 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.225 true_negative_rate:1.000 true_positive:3354 true_negative:1464 false_positive:0 false_negative:11539 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.194 true_negative_rate:1.000 true_positive:2882 true_negative:1464 false_positive:0 false_negative:12011 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.156 true_negative_rate:1.000 true_positive:2328 true_negative:1464 false_positive:0 false_negative:12565 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.122 true_negative_rate:1.000 true_positive:1820 true_negative:1464 false_positive:0 false_negative:13073 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:1355 true_negative:1464 false_positive:0 false_negative:13538 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:903 true_negative:1464 false_positive:0 false_negative:13990 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.029 true_negative_rate:1.000 true_positive:425 true_negative:1464 false_positive:0 false_negative:14468 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:157 true_negative:1464 false_positive:0 false_negative:14736 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:39 true_negative:1464 false_positive:0 false_negative:14854 
fr101_ocount_20_osize_15_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1464 false_positive:0 false_negative:14892 
