aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.000 precision:0.995 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:178 false_negative:0 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.050 precision:0.999 recall:0.857 true_negative_rate:0.871 true_positive:32392 true_negative:155 false_positive:23 false_negative:5403 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.100 precision:1.000 recall:0.717 true_negative_rate:0.944 true_positive:27106 true_negative:168 false_positive:10 false_negative:10689 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.150 precision:1.000 recall:0.619 true_negative_rate:0.955 true_positive:23380 true_negative:170 false_positive:8 false_negative:14415 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.540 true_negative_rate:0.966 true_positive:20404 true_negative:172 false_positive:6 false_negative:17391 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.475 true_negative_rate:0.966 true_positive:17971 true_negative:172 false_positive:6 false_negative:19824 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:0.989 true_positive:15878 true_negative:176 false_positive:2 false_negative:21917 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.356 true_negative_rate:1.000 true_positive:13472 true_negative:178 false_positive:0 false_negative:24323 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:10810 true_negative:178 false_positive:0 false_negative:26985 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:1.000 true_positive:8702 true_negative:178 false_positive:0 false_negative:29093 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6946 true_negative:178 false_positive:0 false_negative:30849 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5304 true_negative:178 false_positive:0 false_negative:32491 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3762 true_negative:178 false_positive:0 false_negative:34033 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2515 true_negative:178 false_positive:0 false_negative:35280 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1292 true_negative:178 false_positive:0 false_negative:36503 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:504 true_negative:178 false_positive:0 false_negative:37291 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:59 true_negative:178 false_positive:0 false_negative:37736 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:178 false_positive:0 false_negative:37760 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:178 false_positive:0 false_negative:37770 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:178 false_positive:0 false_negative:37783 
aces_publicb_ocount_80_osize_2_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:178 false_positive:0 false_negative:37794 
