aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.000 precision:0.951 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:1949 false_negative:0 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.050 precision:0.946 recall:0.863 true_negative_rate:0.051 true_positive:32623 true_negative:100 false_positive:1849 false_negative:5172 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.100 precision:0.979 recall:0.720 true_negative_rate:0.693 true_positive:27218 true_negative:1351 false_positive:598 false_negative:10577 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.150 precision:0.997 recall:0.618 true_negative_rate:0.967 true_positive:23355 true_negative:1884 false_positive:65 false_negative:14440 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.541 true_negative_rate:0.991 true_positive:20432 true_negative:1932 false_positive:17 false_negative:17363 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.475 true_negative_rate:0.994 true_positive:17941 true_negative:1937 false_positive:12 false_negative:19854 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:0.997 true_positive:15859 true_negative:1944 false_positive:5 false_negative:21936 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.357 true_negative_rate:0.997 true_positive:13489 true_negative:1944 false_positive:5 false_negative:24306 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.287 true_negative_rate:0.997 true_positive:10830 true_negative:1944 false_positive:5 false_negative:26965 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:0.999 true_positive:8684 true_negative:1947 false_positive:2 false_negative:29111 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:0.999 true_positive:6962 true_negative:1947 false_positive:2 false_negative:30833 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5279 true_negative:1949 false_positive:0 false_negative:32516 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.098 true_negative_rate:1.000 true_positive:3714 true_negative:1949 false_positive:0 false_negative:34081 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.066 true_negative_rate:1.000 true_positive:2496 true_negative:1949 false_positive:0 false_negative:35299 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1291 true_negative:1949 false_positive:0 false_negative:36504 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.014 true_negative_rate:1.000 true_positive:524 true_negative:1949 false_positive:0 false_negative:37271 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:80 true_negative:1949 false_positive:0 false_negative:37715 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:1949 false_positive:0 false_negative:37760 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:1949 false_positive:0 false_negative:37770 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:1949 false_positive:0 false_negative:37783 
aces_publicb_ocount_20_osize_19_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1949 false_positive:0 false_negative:37794 
