fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.000 precision:0.993 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:249 false_negative:0 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.050 precision:0.998 recall:0.934 true_negative_rate:0.675 true_positive:32541 true_negative:168 false_positive:81 false_negative:2290 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.100 precision:0.999 recall:0.780 true_negative_rate:0.851 true_positive:27159 true_negative:212 false_positive:37 false_negative:7672 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.592 true_negative_rate:0.916 true_positive:20628 true_negative:228 false_positive:21 false_negative:14203 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.464 true_negative_rate:0.968 true_positive:16156 true_negative:241 false_positive:8 false_negative:18675 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.389 true_negative_rate:0.976 true_positive:13537 true_negative:243 false_positive:6 false_negative:21294 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.323 true_negative_rate:0.992 true_positive:11266 true_negative:247 false_positive:2 false_negative:23565 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.270 true_negative_rate:1.000 true_positive:9395 true_negative:249 false_positive:0 false_negative:25436 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.224 true_negative_rate:1.000 true_positive:7803 true_negative:249 false_positive:0 false_negative:27028 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.183 true_negative_rate:1.000 true_positive:6383 true_negative:249 false_positive:0 false_negative:28448 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:4920 true_negative:249 false_positive:0 false_negative:29911 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:3810 true_negative:249 false_positive:0 false_negative:31021 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.076 true_negative_rate:1.000 true_positive:2648 true_negative:249 false_positive:0 false_negative:32183 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.048 true_negative_rate:1.000 true_positive:1689 true_negative:249 false_positive:0 false_negative:33142 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1242 true_negative:249 false_positive:0 false_negative:33589 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:963 true_negative:249 false_positive:0 false_negative:33868 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:647 true_negative:249 false_positive:0 false_negative:34184 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:204 true_negative:249 false_positive:0 false_negative:34627 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:45 true_negative:249 false_positive:0 false_negative:34786 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:249 false_positive:0 false_negative:34818 
fhw_ocount_100_osize_2_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:249 false_positive:0 false_negative:34830 
