fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.000 precision:0.995 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:175 false_negative:0 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.050 precision:0.998 recall:0.977 true_negative_rate:0.514 true_positive:35638 true_negative:90 false_positive:85 false_negative:827 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.100 precision:0.999 recall:0.908 true_negative_rate:0.829 true_positive:33095 true_negative:145 false_positive:30 false_negative:3370 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.774 true_negative_rate:0.966 true_positive:28207 true_negative:169 false_positive:6 false_negative:8258 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.610 true_negative_rate:0.994 true_positive:22227 true_negative:174 false_positive:1 false_negative:14238 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.477 true_negative_rate:1.000 true_positive:17377 true_negative:175 false_positive:0 false_negative:19088 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.372 true_negative_rate:1.000 true_positive:13557 true_negative:175 false_positive:0 false_negative:22908 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.274 true_negative_rate:1.000 true_positive:9987 true_negative:175 false_positive:0 false_negative:26478 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.196 true_negative_rate:1.000 true_positive:7136 true_negative:175 false_positive:0 false_negative:29329 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.138 true_negative_rate:1.000 true_positive:5037 true_negative:175 false_positive:0 false_negative:31428 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.096 true_negative_rate:1.000 true_positive:3495 true_negative:175 false_positive:0 false_negative:32970 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.064 true_negative_rate:1.000 true_positive:2327 true_negative:175 false_positive:0 false_negative:34138 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1364 true_negative:175 false_positive:0 false_negative:35101 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.017 true_negative_rate:1.000 true_positive:631 true_negative:175 false_positive:0 false_negative:35834 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:252 true_negative:175 false_positive:0 false_negative:36213 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:121 true_negative:175 false_positive:0 false_negative:36344 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:54 true_negative:175 false_positive:0 false_negative:36411 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:29 true_negative:175 false_positive:0 false_negative:36436 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:16 true_negative:175 false_positive:0 false_negative:36449 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:175 false_positive:0 false_negative:36458 
fr079_ocount_40_osize_4_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:175 false_positive:0 false_negative:36464 
