fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.000 precision:0.724 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:5669 false_negative:0 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.050 precision:0.725 recall:0.932 true_negative_rate:0.071 true_positive:13875 true_negative:405 false_positive:5264 false_negative:1018 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.100 precision:0.751 recall:0.832 true_negative_rate:0.275 true_positive:12388 true_negative:1560 false_positive:4109 false_negative:2505 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.150 precision:0.838 recall:0.693 true_negative_rate:0.649 true_positive:10315 true_negative:3680 false_positive:1989 false_negative:4578 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.200 precision:0.937 recall:0.575 true_negative_rate:0.899 true_positive:8566 true_negative:5094 false_positive:575 false_negative:6327 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.250 precision:0.975 recall:0.491 true_negative_rate:0.967 true_positive:7309 true_negative:5482 false_positive:187 false_negative:7584 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.300 precision:0.994 recall:0.426 true_negative_rate:0.993 true_positive:6342 true_negative:5629 false_positive:40 false_negative:8551 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.350 precision:0.998 recall:0.382 true_negative_rate:0.998 true_positive:5694 true_negative:5657 false_positive:12 false_negative:9199 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.400 precision:0.999 recall:0.333 true_negative_rate:0.999 true_positive:4957 true_negative:5662 false_positive:7 false_negative:9936 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.450 precision:0.998 recall:0.290 true_negative_rate:0.999 true_positive:4319 true_negative:5662 false_positive:7 false_negative:10574 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.500 precision:0.998 recall:0.257 true_negative_rate:0.999 true_positive:3834 true_negative:5663 false_positive:6 false_negative:11059 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.550 precision:0.999 recall:0.228 true_negative_rate:0.999 true_positive:3391 true_negative:5664 false_positive:5 false_negative:11502 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.600 precision:0.998 recall:0.195 true_negative_rate:0.999 true_positive:2898 true_negative:5664 false_positive:5 false_negative:11995 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.650 precision:0.998 recall:0.155 true_negative_rate:0.999 true_positive:2312 true_negative:5664 false_positive:5 false_negative:12581 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.700 precision:0.998 recall:0.122 true_negative_rate:0.999 true_positive:1820 true_negative:5665 false_positive:4 false_negative:13073 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.750 precision:0.999 recall:0.094 true_negative_rate:1.000 true_positive:1396 true_negative:5668 false_positive:1 false_negative:13497 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.800 precision:0.999 recall:0.064 true_negative_rate:1.000 true_positive:955 true_negative:5668 false_positive:1 false_negative:13938 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:546 true_negative:5669 false_positive:0 false_negative:14347 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:191 true_negative:5669 false_positive:0 false_negative:14702 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:47 true_negative:5669 false_positive:0 false_negative:14846 
fr101_ocount_60_osize_17_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5669 false_positive:0 false_negative:14892 
