edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.000 precision:0.814 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:10182 false_negative:0 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.050 precision:0.846 recall:0.720 true_negative_rate:0.428 true_positive:32091 true_negative:4358 false_positive:5824 false_negative:12496 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.100 precision:0.970 recall:0.454 true_negative_rate:0.939 true_positive:20264 true_negative:9564 false_positive:618 false_negative:24323 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.150 precision:0.990 recall:0.310 true_negative_rate:0.986 true_positive:13812 true_negative:10039 false_positive:143 false_negative:30775 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.200 precision:0.997 recall:0.219 true_negative_rate:0.997 true_positive:9772 true_negative:10154 false_positive:28 false_negative:34815 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.250 precision:0.998 recall:0.165 true_negative_rate:0.999 true_positive:7363 true_negative:10167 false_positive:15 false_negative:37224 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.300 precision:0.998 recall:0.129 true_negative_rate:0.999 true_positive:5741 true_negative:10171 false_positive:11 false_negative:38846 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.350 precision:0.998 recall:0.110 true_negative_rate:0.999 true_positive:4884 true_negative:10171 false_positive:11 false_negative:39703 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:4038 true_negative:10180 false_positive:2 false_negative:40549 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.082 true_negative_rate:1.000 true_positive:3639 true_negative:10180 false_positive:2 false_negative:40948 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3329 true_negative:10182 false_positive:0 false_negative:41258 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3108 true_negative:10182 false_positive:0 false_negative:41479 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3048 true_negative:10182 false_positive:0 false_negative:41539 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2702 true_negative:10182 false_positive:0 false_negative:41885 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.017 true_negative_rate:1.000 true_positive:737 true_negative:10182 false_positive:0 false_negative:43850 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:395 true_negative:10182 false_positive:0 false_negative:44192 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:20 true_negative:10182 false_positive:0 false_negative:44567 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10182 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10182 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10182 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_17_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10182 false_positive:0 false_negative:44586 
