edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.000 precision:0.908 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:4522 false_negative:0 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.050 precision:0.911 recall:0.714 true_negative_rate:0.309 true_positive:31815 true_negative:1399 false_positive:3123 false_negative:12772 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.100 precision:0.977 recall:0.447 true_negative_rate:0.897 true_positive:19952 true_negative:4056 false_positive:466 false_negative:24635 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.150 precision:0.996 recall:0.306 true_negative_rate:0.989 true_positive:13651 true_negative:4474 false_positive:48 false_negative:30936 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.200 precision:0.998 recall:0.221 true_negative_rate:0.996 true_positive:9834 true_negative:4502 false_positive:20 false_negative:34753 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.250 precision:0.999 recall:0.167 true_negative_rate:0.999 true_positive:7465 true_negative:4516 false_positive:6 false_negative:37122 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:1.000 true_positive:5741 true_negative:4521 false_positive:1 false_negative:38846 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4875 true_negative:4522 false_positive:0 false_negative:39712 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3948 true_negative:4522 false_positive:0 false_negative:40639 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3608 true_negative:4522 false_positive:0 false_negative:40979 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3312 true_negative:4522 false_positive:0 false_negative:41275 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:4522 false_positive:0 false_negative:41478 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3051 true_negative:4522 false_positive:0 false_negative:41536 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2699 true_negative:4522 false_positive:0 false_negative:41888 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:685 true_negative:4522 false_positive:0 false_negative:43902 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:394 true_negative:4522 false_positive:0 false_negative:44193 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:4522 false_positive:0 false_negative:44580 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4522 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4522 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4522 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_21_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4522 false_positive:0 false_negative:44586 
