csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.000 precision:0.926 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:1351 false_negative:0 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.050 precision:0.927 recall:0.943 true_negative_rate:0.075 true_positive:15889 true_negative:102 false_positive:1249 false_negative:968 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.100 precision:0.939 recall:0.812 true_negative_rate:0.336 true_positive:13696 true_negative:454 false_positive:897 false_negative:3161 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.150 precision:0.964 recall:0.618 true_negative_rate:0.716 true_positive:10423 true_negative:967 false_positive:384 false_negative:6434 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.200 precision:0.984 recall:0.443 true_negative_rate:0.909 true_positive:7465 true_negative:1228 false_positive:123 false_negative:9392 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.250 precision:0.990 recall:0.323 true_negative_rate:0.958 true_positive:5452 true_negative:1294 false_positive:57 false_negative:11405 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.300 precision:0.998 recall:0.247 true_negative_rate:0.993 true_positive:4167 true_negative:1342 false_positive:9 false_negative:12690 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.188 true_negative_rate:0.999 true_positive:3174 true_negative:1350 false_positive:1 false_negative:13683 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.137 true_negative_rate:1.000 true_positive:2313 true_negative:1351 false_positive:0 false_negative:14544 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.104 true_negative_rate:1.000 true_positive:1745 true_negative:1351 false_positive:0 false_negative:15112 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:1134 true_negative:1351 false_positive:0 false_negative:15723 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.039 true_negative_rate:1.000 true_positive:660 true_negative:1351 false_positive:0 false_negative:16197 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.023 true_negative_rate:1.000 true_positive:382 true_negative:1351 false_positive:0 false_negative:16475 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:157 true_negative:1351 false_positive:0 false_negative:16700 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:47 true_negative:1351 false_positive:0 false_negative:16810 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:30 true_negative:1351 false_positive:0 false_negative:16827 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:19 true_negative:1351 false_positive:0 false_negative:16838 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:13 true_negative:1351 false_positive:0 false_negative:16844 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:1351 false_positive:0 false_negative:16851 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:1351 false_positive:0 false_negative:16852 
csail_ocount_40_osize_11_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1351 false_positive:0 false_negative:16856 
