fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.000 precision:0.993 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:261 false_negative:0 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.050 precision:0.996 recall:0.976 true_negative_rate:0.456 true_positive:35602 true_negative:119 false_positive:142 false_negative:863 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.100 precision:0.998 recall:0.905 true_negative_rate:0.739 true_positive:32999 true_negative:193 false_positive:68 false_negative:3466 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.769 true_negative_rate:0.874 true_positive:28035 true_negative:228 false_positive:33 false_negative:8430 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.604 true_negative_rate:0.931 true_positive:22007 true_negative:243 false_positive:18 false_negative:14458 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.471 true_negative_rate:0.981 true_positive:17187 true_negative:256 false_positive:5 false_negative:19278 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.365 true_negative_rate:0.989 true_positive:13303 true_negative:258 false_positive:3 false_negative:23162 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.265 true_negative_rate:0.992 true_positive:9681 true_negative:259 false_positive:2 false_negative:26784 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.190 true_negative_rate:1.000 true_positive:6936 true_negative:261 false_positive:0 false_negative:29529 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.133 true_negative_rate:1.000 true_positive:4854 true_negative:261 false_positive:0 false_negative:31611 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:3310 true_negative:261 false_positive:0 false_negative:33155 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2193 true_negative:261 false_positive:0 false_negative:34272 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1225 true_negative:261 false_positive:0 false_negative:35240 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:554 true_negative:261 false_positive:0 false_negative:35911 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:216 true_negative:261 false_positive:0 false_negative:36249 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:103 true_negative:261 false_positive:0 false_negative:36362 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:48 true_negative:261 false_positive:0 false_negative:36417 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:261 false_positive:0 false_negative:36441 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:14 true_negative:261 false_positive:0 false_negative:36451 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:261 false_positive:0 false_negative:36459 
fr079_ocount_120_osize_2_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:261 false_positive:0 false_negative:36464 
