edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.000 precision:0.864 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:7028 false_negative:0 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.050 precision:0.872 recall:0.713 true_negative_rate:0.336 true_positive:31784 true_negative:2363 false_positive:4665 false_negative:12803 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.100 precision:0.962 recall:0.448 true_negative_rate:0.888 true_positive:19992 true_negative:6238 false_positive:790 false_negative:24595 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.150 precision:0.979 recall:0.307 true_negative_rate:0.958 true_positive:13681 true_negative:6732 false_positive:296 false_negative:30906 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.200 precision:0.989 recall:0.222 true_negative_rate:0.984 true_positive:9880 true_negative:6916 false_positive:112 false_negative:34707 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.250 precision:0.996 recall:0.169 true_negative_rate:0.996 true_positive:7544 true_negative:7001 false_positive:27 false_negative:37043 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5715 true_negative:7028 false_positive:0 false_negative:38872 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4861 true_negative:7028 false_positive:0 false_negative:39726 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3959 true_negative:7028 false_positive:0 false_negative:40628 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3621 true_negative:7028 false_positive:0 false_negative:40966 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3326 true_negative:7028 false_positive:0 false_negative:41261 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3108 true_negative:7028 false_positive:0 false_negative:41479 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3050 true_negative:7028 false_positive:0 false_negative:41537 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2703 true_negative:7028 false_positive:0 false_negative:41884 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:785 true_negative:7028 false_positive:0 false_negative:43802 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:417 true_negative:7028 false_positive:0 false_negative:44170 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:7028 false_positive:0 false_negative:44575 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:7028 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:7028 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:7028 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_22_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:7028 false_positive:0 false_negative:44586 
