fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.000 precision:0.767 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:4522 false_negative:0 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.050 precision:0.761 recall:0.929 true_negative_rate:0.037 true_positive:13829 true_negative:167 false_positive:4355 false_negative:1064 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.100 precision:0.778 recall:0.813 true_negative_rate:0.237 true_positive:12108 true_negative:1071 false_positive:3451 false_negative:2785 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.150 precision:0.884 recall:0.676 true_negative_rate:0.707 true_positive:10073 true_negative:3196 false_positive:1326 false_negative:4820 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.200 precision:0.959 recall:0.559 true_negative_rate:0.921 true_positive:8328 true_negative:4164 false_positive:358 false_negative:6565 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.250 precision:0.983 recall:0.485 true_negative_rate:0.972 true_positive:7228 true_negative:4396 false_positive:126 false_negative:7665 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.300 precision:0.991 recall:0.427 true_negative_rate:0.987 true_positive:6362 true_negative:4465 false_positive:57 false_negative:8531 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.350 precision:0.994 recall:0.385 true_negative_rate:0.993 true_positive:5729 true_negative:4490 false_positive:32 false_negative:9164 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.400 precision:0.997 recall:0.334 true_negative_rate:0.997 true_positive:4975 true_negative:4507 false_positive:15 false_negative:9918 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.288 true_negative_rate:0.999 true_positive:4287 true_negative:4517 false_positive:5 false_negative:10606 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.500 precision:0.999 recall:0.255 true_negative_rate:0.999 true_positive:3804 true_negative:4519 false_positive:3 false_negative:11089 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.221 true_negative_rate:1.000 true_positive:3297 true_negative:4522 false_positive:0 false_negative:11596 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.192 true_negative_rate:1.000 true_positive:2857 true_negative:4522 false_positive:0 false_negative:12036 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.154 true_negative_rate:1.000 true_positive:2298 true_negative:4522 false_positive:0 false_negative:12595 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.119 true_negative_rate:1.000 true_positive:1766 true_negative:4522 false_positive:0 false_negative:13127 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:1348 true_negative:4522 false_positive:0 false_negative:13545 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:901 true_negative:4522 false_positive:0 false_negative:13992 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.029 true_negative_rate:1.000 true_positive:434 true_negative:4522 false_positive:0 false_negative:14459 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.012 true_negative_rate:1.000 true_positive:177 true_negative:4522 false_positive:0 false_negative:14716 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:39 true_negative:4522 false_positive:0 false_negative:14854 
fr101_ocount_40_osize_16_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4522 false_positive:0 false_negative:14892 
