edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.000 precision:0.948 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:2452 false_negative:0 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.050 precision:0.992 recall:0.705 true_negative_rate:0.900 true_positive:31413 true_negative:2207 false_positive:245 false_negative:13174 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.100 precision:0.999 recall:0.442 true_negative_rate:0.991 true_positive:19717 true_negative:2429 false_positive:23 false_negative:24870 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.303 true_negative_rate:1.000 true_positive:13518 true_negative:2452 false_positive:0 false_negative:31069 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.217 true_negative_rate:1.000 true_positive:9677 true_negative:2452 false_positive:0 false_negative:34910 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.166 true_negative_rate:1.000 true_positive:7387 true_negative:2452 false_positive:0 false_negative:37200 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5723 true_negative:2452 false_positive:0 false_negative:38864 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4865 true_negative:2452 false_positive:0 false_negative:39722 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3951 true_negative:2452 false_positive:0 false_negative:40636 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3621 true_negative:2452 false_positive:0 false_negative:40966 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3321 true_negative:2452 false_positive:0 false_negative:41266 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3105 true_negative:2452 false_positive:0 false_negative:41482 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3049 true_negative:2452 false_positive:0 false_negative:41538 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2696 true_negative:2452 false_positive:0 false_negative:41891 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:676 true_negative:2452 false_positive:0 false_negative:43911 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:402 true_negative:2452 false_positive:0 false_negative:44185 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:2452 false_positive:0 false_negative:44580 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2452 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2452 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2452 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_10_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2452 false_positive:0 false_negative:44586 
