aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.000 precision:0.803 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:9244 false_negative:0 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.050 precision:0.829 recall:0.871 true_negative_rate:0.266 true_positive:32903 true_negative:2459 false_positive:6785 false_negative:4892 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.100 precision:0.959 recall:0.729 true_negative_rate:0.873 true_positive:27542 true_negative:8071 false_positive:1173 false_negative:10253 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.150 precision:0.985 recall:0.625 true_negative_rate:0.961 true_positive:23607 true_negative:8888 false_positive:356 false_negative:14188 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.200 precision:0.989 recall:0.546 true_negative_rate:0.975 true_positive:20626 true_negative:9015 false_positive:229 false_negative:17169 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.250 precision:0.992 recall:0.482 true_negative_rate:0.984 true_positive:18232 true_negative:9099 false_positive:145 false_negative:19563 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.300 precision:0.995 recall:0.425 true_negative_rate:0.991 true_positive:16056 true_negative:9161 false_positive:83 false_negative:21739 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.350 precision:0.998 recall:0.363 true_negative_rate:0.997 true_positive:13718 true_negative:9214 false_positive:30 false_negative:24077 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.400 precision:0.999 recall:0.295 true_negative_rate:0.998 true_positive:11152 true_negative:9228 false_positive:16 false_negative:26643 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.450 precision:0.998 recall:0.236 true_negative_rate:0.998 true_positive:8934 true_negative:9230 false_positive:14 false_negative:28861 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.500 precision:0.998 recall:0.189 true_negative_rate:0.999 true_positive:7130 true_negative:9233 false_positive:11 false_negative:30665 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.550 precision:0.998 recall:0.144 true_negative_rate:0.999 true_positive:5441 true_negative:9235 false_positive:9 false_negative:32354 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.600 precision:0.998 recall:0.105 true_negative_rate:0.999 true_positive:3970 true_negative:9237 false_positive:7 false_negative:33825 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.069 true_negative_rate:1.000 true_positive:2624 true_negative:9244 false_positive:0 false_negative:35171 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1406 true_negative:9244 false_positive:0 false_negative:36389 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:572 true_negative:9244 false_positive:0 false_negative:37223 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:120 true_negative:9244 false_positive:0 false_negative:37675 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:39 true_negative:9244 false_positive:0 false_negative:37756 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:9244 false_positive:0 false_negative:37771 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:9244 false_positive:0 false_negative:37783 
aces_publicb_ocount_160_osize_14_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9244 false_positive:0 false_negative:37794 
