edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.000 precision:0.887 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:5701 false_negative:0 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.050 precision:0.867 recall:0.716 true_negative_rate:0.139 true_positive:31905 true_negative:794 false_positive:4907 false_negative:12682 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.100 precision:0.901 recall:0.455 true_negative_rate:0.610 true_positive:20300 true_negative:3477 false_positive:2224 false_negative:24287 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.150 precision:0.978 recall:0.306 true_negative_rate:0.947 true_positive:13640 true_negative:5401 false_positive:300 false_negative:30947 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.200 precision:0.991 recall:0.217 true_negative_rate:0.985 true_positive:9697 true_negative:5617 false_positive:84 false_negative:34890 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.250 precision:0.993 recall:0.168 true_negative_rate:0.991 true_positive:7473 true_negative:5649 false_positive:52 false_negative:37114 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.300 precision:0.994 recall:0.128 true_negative_rate:0.994 true_positive:5725 true_negative:5668 false_positive:33 false_negative:38862 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.350 precision:0.998 recall:0.110 true_negative_rate:0.998 true_positive:4888 true_negative:5691 false_positive:10 false_negative:39699 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3967 true_negative:5701 false_positive:0 false_negative:40620 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3617 true_negative:5701 false_positive:0 false_negative:40970 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3311 true_negative:5701 false_positive:0 false_negative:41276 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3108 true_negative:5701 false_positive:0 false_negative:41479 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3036 true_negative:5701 false_positive:0 false_negative:41551 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2704 true_negative:5701 false_positive:0 false_negative:41883 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:708 true_negative:5701 false_positive:0 false_negative:43879 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:405 true_negative:5701 false_positive:0 false_negative:44182 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:5701 false_positive:0 false_negative:44580 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5701 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5701 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5701 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_29_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5701 false_positive:0 false_negative:44586 
