fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.000 precision:0.987 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:199 false_negative:0 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.050 precision:0.994 recall:0.922 true_negative_rate:0.598 true_positive:13725 true_negative:119 false_positive:80 false_negative:1168 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.100 precision:0.997 recall:0.800 true_negative_rate:0.839 true_positive:11909 true_negative:167 false_positive:32 false_negative:2984 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.664 true_negative_rate:0.915 true_positive:9895 true_negative:182 false_positive:17 false_negative:4998 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.200 precision:1.000 recall:0.551 true_negative_rate:1.000 true_positive:8205 true_negative:199 false_positive:0 false_negative:6688 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.250 precision:1.000 recall:0.478 true_negative_rate:1.000 true_positive:7125 true_negative:199 false_positive:0 false_negative:7768 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.418 true_negative_rate:1.000 true_positive:6230 true_negative:199 false_positive:0 false_negative:8663 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.378 true_negative_rate:1.000 true_positive:5634 true_negative:199 false_positive:0 false_negative:9259 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.332 true_negative_rate:1.000 true_positive:4943 true_negative:199 false_positive:0 false_negative:9950 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.290 true_negative_rate:1.000 true_positive:4315 true_negative:199 false_positive:0 false_negative:10578 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.259 true_negative_rate:1.000 true_positive:3850 true_negative:199 false_positive:0 false_negative:11043 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.225 true_negative_rate:1.000 true_positive:3353 true_negative:199 false_positive:0 false_negative:11540 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.195 true_negative_rate:1.000 true_positive:2904 true_negative:199 false_positive:0 false_negative:11989 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.155 true_negative_rate:1.000 true_positive:2306 true_negative:199 false_positive:0 false_negative:12587 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.120 true_negative_rate:1.000 true_positive:1783 true_negative:199 false_positive:0 false_negative:13110 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:1347 true_negative:199 false_positive:0 false_negative:13546 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:908 true_negative:199 false_positive:0 false_negative:13985 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.029 true_negative_rate:1.000 true_positive:426 true_negative:199 false_positive:0 false_negative:14467 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:146 true_negative:199 false_positive:0 false_negative:14747 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:34 true_negative:199 false_positive:0 false_negative:14859 
fr101_ocount_20_osize_4_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:199 false_positive:0 false_negative:14892 
