csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.000 precision:0.922 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:1435 false_negative:0 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.050 precision:0.938 recall:0.970 true_negative_rate:0.241 true_positive:16354 true_negative:346 false_positive:1089 false_negative:503 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.100 precision:0.965 recall:0.872 true_negative_rate:0.630 true_positive:14699 true_negative:904 false_positive:531 false_negative:2158 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.150 precision:0.983 recall:0.703 true_negative_rate:0.859 true_positive:11845 true_negative:1232 false_positive:203 false_negative:5012 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.200 precision:0.993 recall:0.510 true_negative_rate:0.956 true_positive:8595 true_negative:1372 false_positive:63 false_negative:8262 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.250 precision:0.995 recall:0.366 true_negative_rate:0.978 true_positive:6164 true_negative:1403 false_positive:32 false_negative:10693 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.300 precision:0.997 recall:0.268 true_negative_rate:0.991 true_positive:4526 true_negative:1422 false_positive:13 false_negative:12331 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.350 precision:0.998 recall:0.200 true_negative_rate:0.996 true_positive:3369 true_negative:1429 false_positive:6 false_negative:13488 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.400 precision:0.999 recall:0.147 true_negative_rate:0.998 true_positive:2477 true_negative:1432 false_positive:3 false_negative:14380 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.103 true_negative_rate:1.000 true_positive:1744 true_negative:1435 false_positive:0 false_negative:15113 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.066 true_negative_rate:1.000 true_positive:1116 true_negative:1435 false_positive:0 false_negative:15741 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.040 true_negative_rate:1.000 true_positive:682 true_negative:1435 false_positive:0 false_negative:16175 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.023 true_negative_rate:1.000 true_positive:382 true_negative:1435 false_positive:0 false_negative:16475 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:170 true_negative:1435 false_positive:0 false_negative:16687 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:62 true_negative:1435 false_positive:0 false_negative:16795 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:27 true_negative:1435 false_positive:0 false_negative:16830 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:20 true_negative:1435 false_positive:0 false_negative:16837 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:13 true_negative:1435 false_positive:0 false_negative:16844 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:1435 false_positive:0 false_negative:16851 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:1435 false_positive:0 false_negative:16854 
csail_ocount_180_osize_5_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1435 false_positive:0 false_negative:16856 
