fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.000 precision:0.994 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:209 false_negative:0 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.050 precision:0.997 recall:0.935 true_negative_rate:0.589 true_positive:32554 true_negative:123 false_positive:86 false_negative:2277 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.100 precision:0.998 recall:0.778 true_negative_rate:0.804 true_positive:27107 true_negative:168 false_positive:41 false_negative:7724 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.592 true_negative_rate:0.904 true_positive:20627 true_negative:189 false_positive:20 false_negative:14204 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.464 true_negative_rate:0.923 true_positive:16157 true_negative:193 false_positive:16 false_negative:18674 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.250 precision:0.999 recall:0.388 true_negative_rate:0.943 true_positive:13501 true_negative:197 false_positive:12 false_negative:21330 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.300 precision:0.999 recall:0.323 true_negative_rate:0.971 true_positive:11266 true_negative:203 false_positive:6 false_negative:23565 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.350 precision:0.999 recall:0.269 true_negative_rate:0.976 true_positive:9378 true_negative:204 false_positive:5 false_negative:25453 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.400 precision:0.999 recall:0.224 true_negative_rate:0.981 true_positive:7792 true_negative:205 false_positive:4 false_negative:27039 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.450 precision:0.999 recall:0.183 true_negative_rate:0.981 true_positive:6390 true_negative:205 false_positive:4 false_negative:28441 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.500 precision:0.999 recall:0.142 true_negative_rate:0.986 true_positive:4934 true_negative:206 false_positive:3 false_negative:29897 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3818 true_negative:209 false_positive:0 false_negative:31013 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.076 true_negative_rate:1.000 true_positive:2639 true_negative:209 false_positive:0 false_negative:32192 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1694 true_negative:209 false_positive:0 false_negative:33137 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1240 true_negative:209 false_positive:0 false_negative:33591 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:960 true_negative:209 false_positive:0 false_negative:33871 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:642 true_negative:209 false_positive:0 false_negative:34189 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:201 true_negative:209 false_positive:0 false_negative:34630 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:45 true_negative:209 false_positive:0 false_negative:34786 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:209 false_positive:0 false_negative:34818 
fhw_ocount_60_osize_3_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:209 false_positive:0 false_negative:34830 
