fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.000 precision:0.932 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:2527 false_negative:0 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.050 precision:0.938 recall:0.940 true_negative_rate:0.150 true_positive:32734 true_negative:380 false_positive:2147 false_negative:2097 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.100 precision:0.958 recall:0.795 true_negative_rate:0.520 true_positive:27700 true_negative:1315 false_positive:1212 false_negative:7131 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.150 precision:0.978 recall:0.615 true_negative_rate:0.808 true_positive:21430 true_negative:2041 false_positive:486 false_negative:13401 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.200 precision:0.992 recall:0.475 true_negative_rate:0.947 true_positive:16557 true_negative:2392 false_positive:135 false_negative:18274 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.250 precision:0.997 recall:0.393 true_negative_rate:0.985 true_positive:13695 true_negative:2490 false_positive:37 false_negative:21136 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.300 precision:0.999 recall:0.333 true_negative_rate:0.995 true_positive:11602 true_negative:2514 false_positive:13 false_negative:23229 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.279 true_negative_rate:0.998 true_positive:9713 true_negative:2521 false_positive:6 false_negative:25118 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.232 true_negative_rate:0.999 true_positive:8092 true_negative:2524 false_positive:3 false_negative:26739 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.192 true_negative_rate:1.000 true_positive:6677 true_negative:2527 false_positive:0 false_negative:28154 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.152 true_negative_rate:1.000 true_positive:5284 true_negative:2527 false_positive:0 false_negative:29547 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.117 true_negative_rate:1.000 true_positive:4060 true_negative:2527 false_positive:0 false_negative:30771 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.084 true_negative_rate:1.000 true_positive:2932 true_negative:2527 false_positive:0 false_negative:31899 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.055 true_negative_rate:1.000 true_positive:1927 true_negative:2527 false_positive:0 false_negative:32904 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.038 true_negative_rate:1.000 true_positive:1329 true_negative:2527 false_positive:0 false_negative:33502 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.030 true_negative_rate:1.000 true_positive:1055 true_negative:2527 false_positive:0 false_negative:33776 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:750 true_negative:2527 false_positive:0 false_negative:34081 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:324 true_negative:2527 false_positive:0 false_negative:34507 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:77 true_negative:2527 false_positive:0 false_negative:34754 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:15 true_negative:2527 false_positive:0 false_negative:34816 
fhw_ocount_100_osize_8_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2527 false_positive:0 false_negative:34830 
