csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.000 precision:0.836 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:3304 false_negative:0 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.050 precision:0.841 recall:0.965 true_negative_rate:0.067 true_positive:16267 true_negative:223 false_positive:3081 false_negative:590 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.100 precision:0.856 recall:0.868 true_negative_rate:0.255 true_positive:14634 true_negative:842 false_positive:2462 false_negative:2223 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.150 precision:0.890 recall:0.709 true_negative_rate:0.551 true_positive:11950 true_negative:1821 false_positive:1483 false_negative:4907 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.200 precision:0.931 recall:0.527 true_negative_rate:0.802 true_positive:8884 true_negative:2650 false_positive:654 false_negative:7973 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.250 precision:0.964 recall:0.386 true_negative_rate:0.926 true_positive:6510 true_negative:3059 false_positive:245 false_negative:10347 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.300 precision:0.987 recall:0.284 true_negative_rate:0.981 true_positive:4787 true_negative:3241 false_positive:63 false_negative:12070 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.350 precision:0.997 recall:0.207 true_negative_rate:0.997 true_positive:3497 true_negative:3294 false_positive:10 false_negative:13360 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.400 precision:0.998 recall:0.151 true_negative_rate:0.999 true_positive:2540 true_negative:3300 false_positive:4 false_negative:14317 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.450 precision:0.999 recall:0.104 true_negative_rate:0.999 true_positive:1746 true_negative:3302 false_positive:2 false_negative:15111 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:1130 true_negative:3304 false_positive:0 false_negative:15727 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:627 true_negative:3304 false_positive:0 false_negative:16230 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:355 true_negative:3304 false_positive:0 false_negative:16502 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:154 true_negative:3304 false_positive:0 false_negative:16703 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:55 true_negative:3304 false_positive:0 false_negative:16802 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:29 true_negative:3304 false_positive:0 false_negative:16828 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:18 true_negative:3304 false_positive:0 false_negative:16839 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:13 true_negative:3304 false_positive:0 false_negative:16844 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:4 true_negative:3304 false_positive:0 false_negative:16853 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:3304 false_positive:0 false_negative:16854 
csail_ocount_140_osize_8_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3304 false_positive:0 false_negative:16856 
