csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.000 precision:0.766 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:5139 false_negative:0 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.050 precision:0.772 recall:0.943 true_negative_rate:0.088 true_positive:15902 true_negative:451 false_positive:4688 false_negative:955 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.100 precision:0.815 recall:0.810 true_negative_rate:0.396 true_positive:13661 true_negative:2035 false_positive:3104 false_negative:3196 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.150 precision:0.878 recall:0.603 true_negative_rate:0.726 true_positive:10166 true_negative:3733 false_positive:1406 false_negative:6691 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.200 precision:0.936 recall:0.427 true_negative_rate:0.904 true_positive:7198 true_negative:4645 false_positive:494 false_negative:9659 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.250 precision:0.968 recall:0.311 true_negative_rate:0.966 true_positive:5235 true_negative:4965 false_positive:174 false_negative:11622 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.300 precision:0.984 recall:0.232 true_negative_rate:0.988 true_positive:3910 true_negative:5077 false_positive:62 false_negative:12947 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.350 precision:0.991 recall:0.168 true_negative_rate:0.995 true_positive:2836 true_negative:5113 false_positive:26 false_negative:14021 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.400 precision:0.995 recall:0.122 true_negative_rate:0.998 true_positive:2050 true_negative:5129 false_positive:10 false_negative:14807 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.450 precision:0.996 recall:0.082 true_negative_rate:0.999 true_positive:1376 true_negative:5134 false_positive:5 false_negative:15481 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.047 true_negative_rate:1.000 true_positive:799 true_negative:5139 false_positive:0 false_negative:16058 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:465 true_negative:5139 false_positive:0 false_negative:16392 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:216 true_negative:5139 false_positive:0 false_negative:16641 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:71 true_negative:5139 false_positive:0 false_negative:16786 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:28 true_negative:5139 false_positive:0 false_negative:16829 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:21 true_negative:5139 false_positive:0 false_negative:16836 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:11 true_negative:5139 false_positive:0 false_negative:16846 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:5139 false_positive:0 false_negative:16851 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:5139 false_positive:0 false_negative:16854 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5139 false_positive:0 false_negative:16856 
csail_ocount_180_osize_9_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5139 false_positive:0 false_negative:16856 
