aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.000 precision:0.955 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:1770 false_negative:0 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.050 precision:0.984 recall:0.861 true_negative_rate:0.703 true_positive:32557 true_negative:1244 false_positive:526 false_negative:5238 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.100 precision:0.995 recall:0.721 true_negative_rate:0.915 true_positive:27260 true_negative:1620 false_positive:150 false_negative:10535 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.620 true_negative_rate:0.980 true_positive:23423 true_negative:1735 false_positive:35 false_negative:14372 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.541 true_negative_rate:0.992 true_positive:20451 true_negative:1756 false_positive:14 false_negative:17344 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.475 true_negative_rate:0.999 true_positive:17968 true_negative:1769 false_positive:1 false_negative:19827 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.419 true_negative_rate:0.999 true_positive:15851 true_negative:1769 false_positive:1 false_negative:21944 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.355 true_negative_rate:0.999 true_positive:13408 true_negative:1769 false_positive:1 false_negative:24387 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:0.999 true_positive:10820 true_negative:1769 false_positive:1 false_negative:26975 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:0.999 true_positive:8706 true_negative:1769 false_positive:1 false_negative:29089 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:0.999 true_positive:6941 true_negative:1769 false_positive:1 false_negative:30854 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5299 true_negative:1770 false_positive:0 false_negative:32496 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.099 true_negative_rate:1.000 true_positive:3752 true_negative:1770 false_positive:0 false_negative:34043 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.066 true_negative_rate:1.000 true_positive:2512 true_negative:1770 false_positive:0 false_negative:35283 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1287 true_negative:1770 false_positive:0 false_negative:36508 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:509 true_negative:1770 false_positive:0 false_negative:37286 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:57 true_negative:1770 false_positive:0 false_negative:37738 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:34 true_negative:1770 false_positive:0 false_negative:37761 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:1770 false_positive:0 false_negative:37771 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:1770 false_positive:0 false_negative:37783 
aces_publicb_ocount_100_osize_8_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1770 false_positive:0 false_negative:37794 
