fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.000 precision:0.973 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:1028 false_negative:0 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.050 precision:0.976 recall:0.977 true_negative_rate:0.148 true_positive:35631 true_negative:152 false_positive:876 false_negative:834 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.100 precision:0.981 recall:0.912 true_negative_rate:0.367 true_positive:33265 true_negative:377 false_positive:651 false_negative:3200 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.150 precision:0.986 recall:0.779 true_negative_rate:0.604 true_positive:28408 true_negative:621 false_positive:407 false_negative:8057 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.200 precision:0.989 recall:0.618 true_negative_rate:0.756 true_positive:22548 true_negative:777 false_positive:251 false_negative:13917 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.250 precision:0.992 recall:0.486 true_negative_rate:0.868 true_positive:17730 true_negative:892 false_positive:136 false_negative:18735 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.300 precision:0.995 recall:0.379 true_negative_rate:0.933 true_positive:13803 true_negative:959 false_positive:69 false_negative:22662 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.350 precision:0.996 recall:0.279 true_negative_rate:0.960 true_positive:10167 true_negative:987 false_positive:41 false_negative:26298 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.400 precision:0.998 recall:0.198 true_negative_rate:0.985 true_positive:7205 true_negative:1013 false_positive:15 false_negative:29260 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.450 precision:0.999 recall:0.139 true_negative_rate:0.995 true_positive:5061 true_negative:1023 false_positive:5 false_negative:31404 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.096 true_negative_rate:1.000 true_positive:3483 true_negative:1028 false_positive:0 false_negative:32982 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.064 true_negative_rate:1.000 true_positive:2325 true_negative:1028 false_positive:0 false_negative:34140 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.038 true_negative_rate:1.000 true_positive:1368 true_negative:1028 false_positive:0 false_negative:35097 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.017 true_negative_rate:1.000 true_positive:624 true_negative:1028 false_positive:0 false_negative:35841 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:262 true_negative:1028 false_positive:0 false_negative:36203 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:124 true_negative:1028 false_positive:0 false_negative:36341 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:58 true_negative:1028 false_positive:0 false_negative:36407 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:30 true_negative:1028 false_positive:0 false_negative:36435 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:16 true_negative:1028 false_positive:0 false_negative:36449 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:1028 false_positive:0 false_negative:36458 
fr079_ocount_40_osize_9_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1028 false_positive:0 false_negative:36464 
