fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.000 precision:0.987 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:456 false_negative:0 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.050 precision:0.993 recall:0.936 true_negative_rate:0.480 true_positive:32598 true_negative:219 false_positive:237 false_negative:2233 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.100 precision:0.997 recall:0.778 true_negative_rate:0.792 true_positive:27098 true_negative:361 false_positive:95 false_negative:7733 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.594 true_negative_rate:0.921 true_positive:20682 true_negative:420 false_positive:36 false_negative:14149 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.464 true_negative_rate:0.974 true_positive:16154 true_negative:444 false_positive:12 false_negative:18677 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.386 true_negative_rate:0.982 true_positive:13460 true_negative:448 false_positive:8 false_negative:21371 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.326 true_negative_rate:1.000 true_positive:11349 true_negative:456 false_positive:0 false_negative:23482 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.272 true_negative_rate:1.000 true_positive:9468 true_negative:456 false_positive:0 false_negative:25363 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.225 true_negative_rate:1.000 true_positive:7848 true_negative:456 false_positive:0 false_negative:26983 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.185 true_negative_rate:1.000 true_positive:6446 true_negative:456 false_positive:0 false_negative:28385 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:4964 true_negative:456 false_positive:0 false_negative:29867 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3848 true_negative:456 false_positive:0 false_negative:30983 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:2686 true_negative:456 false_positive:0 false_negative:32145 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1698 true_negative:456 false_positive:0 false_negative:33133 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1248 true_negative:456 false_positive:0 false_negative:33583 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:976 true_negative:456 false_positive:0 false_negative:33855 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:663 true_negative:456 false_positive:0 false_negative:34168 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:215 true_negative:456 false_positive:0 false_negative:34616 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:47 true_negative:456 false_positive:0 false_negative:34784 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:456 false_positive:0 false_negative:34819 
fhw_ocount_60_osize_3_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:456 false_positive:0 false_negative:34830 
