edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.000 precision:0.947 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:2513 false_negative:0 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.050 precision:0.994 recall:0.704 true_negative_rate:0.920 true_positive:31409 true_negative:2313 false_positive:200 false_negative:13178 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.100 precision:0.997 recall:0.442 true_negative_rate:0.973 true_positive:19710 true_negative:2444 false_positive:69 false_negative:24877 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.150 precision:0.999 recall:0.305 true_negative_rate:0.992 true_positive:13580 true_negative:2493 false_positive:20 false_negative:31007 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.200 precision:1.000 recall:0.217 true_negative_rate:0.998 true_positive:9664 true_negative:2509 false_positive:4 false_negative:34923 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.250 precision:1.000 recall:0.166 true_negative_rate:0.999 true_positive:7382 true_negative:2510 false_positive:3 false_negative:37205 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5721 true_negative:2513 false_positive:0 false_negative:38866 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4871 true_negative:2513 false_positive:0 false_negative:39716 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3951 true_negative:2513 false_positive:0 false_negative:40636 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3619 true_negative:2513 false_positive:0 false_negative:40968 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3313 true_negative:2513 false_positive:0 false_negative:41274 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3111 true_negative:2513 false_positive:0 false_negative:41476 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3052 true_negative:2513 false_positive:0 false_negative:41535 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2694 true_negative:2513 false_positive:0 false_negative:41893 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:665 true_negative:2513 false_positive:0 false_negative:43922 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:393 true_negative:2513 false_positive:0 false_negative:44194 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:2513 false_positive:0 false_negative:44581 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2513 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2513 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2513 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_6_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2513 false_positive:0 false_negative:44586 
