edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.000 precision:0.827 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:9352 false_negative:0 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.050 precision:0.887 recall:0.715 true_negative_rate:0.567 true_positive:31901 true_negative:5305 false_positive:4047 false_negative:12686 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.100 precision:0.983 recall:0.447 true_negative_rate:0.962 true_positive:19932 true_negative:8999 false_positive:353 false_negative:24655 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.150 precision:0.988 recall:0.312 true_negative_rate:0.982 true_positive:13913 true_negative:9188 false_positive:164 false_negative:30674 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.200 precision:0.995 recall:0.219 true_negative_rate:0.995 true_positive:9786 true_negative:9307 false_positive:45 false_negative:34801 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.250 precision:0.996 recall:0.171 true_negative_rate:0.997 true_positive:7604 true_negative:9325 false_positive:27 false_negative:36983 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.129 true_negative_rate:0.999 true_positive:5769 true_negative:9347 false_positive:5 false_negative:38818 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.350 precision:0.999 recall:0.110 true_negative_rate:1.000 true_positive:4910 true_negative:9349 false_positive:3 false_negative:39677 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3950 true_negative:9351 false_positive:1 false_negative:40637 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3614 true_negative:9351 false_positive:1 false_negative:40973 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3323 true_negative:9351 false_positive:1 false_negative:41264 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3108 true_negative:9352 false_positive:0 false_negative:41479 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3048 true_negative:9352 false_positive:0 false_negative:41539 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2691 true_negative:9352 false_positive:0 false_negative:41896 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:729 true_negative:9352 false_positive:0 false_negative:43858 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:417 true_negative:9352 false_positive:0 false_negative:44170 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:9352 false_positive:0 false_negative:44580 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9352 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9352 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9352 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_16_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9352 false_positive:0 false_negative:44586 
