aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.000 precision:0.887 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:4831 false_negative:0 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.050 precision:0.874 recall:0.861 true_negative_rate:0.028 true_positive:32541 true_negative:135 false_positive:4696 false_negative:5254 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.100 precision:0.904 recall:0.721 true_negative_rate:0.399 true_positive:27243 true_negative:1928 false_positive:2903 false_negative:10552 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.150 precision:0.975 recall:0.623 true_negative_rate:0.877 true_positive:23547 true_negative:4238 false_positive:593 false_negative:14248 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.200 precision:0.994 recall:0.543 true_negative_rate:0.975 true_positive:20511 true_negative:4712 false_positive:119 false_negative:17284 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.475 true_negative_rate:0.995 true_positive:17971 true_negative:4808 false_positive:23 false_negative:19824 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.422 true_negative_rate:0.998 true_positive:15967 true_negative:4822 false_positive:9 false_negative:21828 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.359 true_negative_rate:0.999 true_positive:13574 true_negative:4827 false_positive:4 false_negative:24221 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.289 true_negative_rate:1.000 true_positive:10909 true_negative:4831 false_positive:0 false_negative:26886 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.232 true_negative_rate:1.000 true_positive:8750 true_negative:4831 false_positive:0 false_negative:29045 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.185 true_negative_rate:1.000 true_positive:6984 true_negative:4831 false_positive:0 false_negative:30811 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:5415 true_negative:4831 false_positive:0 false_negative:32380 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.101 true_negative_rate:1.000 true_positive:3807 true_negative:4831 false_positive:0 false_negative:33988 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.071 true_negative_rate:1.000 true_positive:2672 true_negative:4831 false_positive:0 false_negative:35123 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1350 true_negative:4831 false_positive:0 false_negative:36445 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.014 true_negative_rate:1.000 true_positive:520 true_negative:4831 false_positive:0 false_negative:37275 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:63 true_negative:4831 false_positive:0 false_negative:37732 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:4831 false_positive:0 false_negative:37760 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:26 true_negative:4831 false_positive:0 false_negative:37769 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:4831 false_positive:0 false_negative:37782 
aces_publicb_ocount_20_osize_25_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4831 false_positive:0 false_negative:37794 
