fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.000 precision:0.990 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:363 false_negative:0 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.050 precision:0.992 recall:0.935 true_negative_rate:0.292 true_positive:32557 true_negative:106 false_positive:257 false_negative:2274 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.100 precision:0.995 recall:0.780 true_negative_rate:0.658 true_positive:27163 true_negative:239 false_positive:124 false_negative:7668 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.595 true_negative_rate:0.909 true_positive:20731 true_negative:330 false_positive:33 false_negative:14100 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.465 true_negative_rate:0.953 true_positive:16210 true_negative:346 false_positive:17 false_negative:18621 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.388 true_negative_rate:0.959 true_positive:13511 true_negative:348 false_positive:15 false_negative:21320 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.327 true_negative_rate:0.959 true_positive:11374 true_negative:348 false_positive:15 false_negative:23457 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.350 precision:0.999 recall:0.272 true_negative_rate:0.978 true_positive:9465 true_negative:355 false_positive:8 false_negative:25366 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.400 precision:0.999 recall:0.227 true_negative_rate:0.989 true_positive:7920 true_negative:359 false_positive:4 false_negative:26911 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.186 true_negative_rate:0.997 true_positive:6485 true_negative:362 false_positive:1 false_negative:28346 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.144 true_negative_rate:0.997 true_positive:5001 true_negative:362 false_positive:1 false_negative:29830 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.111 true_negative_rate:0.997 true_positive:3855 true_negative:362 false_positive:1 false_negative:30976 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.078 true_negative_rate:1.000 true_positive:2703 true_negative:363 false_positive:0 false_negative:32128 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1715 true_negative:363 false_positive:0 false_negative:33116 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1259 true_negative:363 false_positive:0 false_negative:33572 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:974 true_negative:363 false_positive:0 false_negative:33857 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:673 true_negative:363 false_positive:0 false_negative:34158 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:231 true_negative:363 false_positive:0 false_negative:34600 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:55 true_negative:363 false_positive:0 false_negative:34776 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:363 false_positive:0 false_negative:34818 
fhw_ocount_40_osize_4_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:363 false_positive:0 false_negative:34830 
