fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.000 precision:0.912 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:1440 false_negative:0 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.050 precision:0.958 recall:0.924 true_negative_rate:0.585 true_positive:13761 true_negative:843 false_positive:597 false_negative:1132 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.100 precision:0.992 recall:0.802 true_negative_rate:0.930 true_positive:11942 true_negative:1339 false_positive:101 false_negative:2951 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.150 precision:0.996 recall:0.666 true_negative_rate:0.972 true_positive:9919 true_negative:1399 false_positive:41 false_negative:4974 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.200 precision:0.996 recall:0.551 true_negative_rate:0.979 true_positive:8206 true_negative:1410 false_positive:30 false_negative:6687 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.250 precision:0.997 recall:0.477 true_negative_rate:0.986 true_positive:7105 true_negative:1420 false_positive:20 false_negative:7788 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.300 precision:0.999 recall:0.417 true_negative_rate:0.994 true_positive:6209 true_negative:1432 false_positive:8 false_negative:8684 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.378 true_negative_rate:1.000 true_positive:5630 true_negative:1440 false_positive:0 false_negative:9263 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.332 true_negative_rate:1.000 true_positive:4941 true_negative:1440 false_positive:0 false_negative:9952 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.291 true_negative_rate:1.000 true_positive:4335 true_negative:1440 false_positive:0 false_negative:10558 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.259 true_negative_rate:1.000 true_positive:3863 true_negative:1440 false_positive:0 false_negative:11030 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.225 true_negative_rate:1.000 true_positive:3348 true_negative:1440 false_positive:0 false_negative:11545 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.195 true_negative_rate:1.000 true_positive:2904 true_negative:1440 false_positive:0 false_negative:11989 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.155 true_negative_rate:1.000 true_positive:2308 true_negative:1440 false_positive:0 false_negative:12585 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.119 true_negative_rate:1.000 true_positive:1767 true_negative:1440 false_positive:0 false_negative:13126 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:1334 true_negative:1440 false_positive:0 false_negative:13559 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:887 true_negative:1440 false_positive:0 false_negative:14006 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:414 true_negative:1440 false_positive:0 false_negative:14479 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:142 true_negative:1440 false_positive:0 false_negative:14751 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:34 true_negative:1440 false_positive:0 false_negative:14859 
fr101_ocount_120_osize_6_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1440 false_positive:0 false_negative:14892 
