edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.000 precision:0.400 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:66966 false_negative:0 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.050 precision:0.349 recall:0.760 true_negative_rate:0.056 true_positive:33882 true_negative:3749 false_positive:63217 false_negative:10705 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.100 precision:0.365 recall:0.508 true_negative_rate:0.412 true_positive:22659 true_negative:27581 false_positive:39385 false_negative:21928 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.150 precision:0.583 recall:0.344 true_negative_rate:0.836 true_positive:15333 true_negative:55991 false_positive:10975 false_negative:29254 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.200 precision:0.858 recall:0.241 true_negative_rate:0.974 true_positive:10743 true_negative:65192 false_positive:1774 false_negative:33844 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.250 precision:0.945 recall:0.178 true_negative_rate:0.993 true_positive:7917 true_negative:66501 false_positive:465 false_negative:36670 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.300 precision:0.974 recall:0.139 true_negative_rate:0.998 true_positive:6217 true_negative:66800 false_positive:166 false_negative:38370 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.350 precision:0.995 recall:0.118 true_negative_rate:1.000 true_positive:5254 true_negative:66937 false_positive:29 false_negative:39333 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.400 precision:0.996 recall:0.096 true_negative_rate:1.000 true_positive:4291 true_negative:66950 false_positive:16 false_negative:40296 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.450 precision:0.998 recall:0.084 true_negative_rate:1.000 true_positive:3742 true_negative:66958 false_positive:8 false_negative:40845 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:3444 true_negative:66966 false_positive:0 false_negative:41143 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.071 true_negative_rate:1.000 true_positive:3160 true_negative:66966 false_positive:0 false_negative:41427 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3030 true_negative:66966 false_positive:0 false_negative:41557 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.062 true_negative_rate:1.000 true_positive:2766 true_negative:66966 false_positive:0 false_negative:41821 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.025 true_negative_rate:1.000 true_positive:1119 true_negative:66966 false_positive:0 false_negative:43468 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:470 true_negative:66966 false_positive:0 false_negative:44117 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:66966 false_positive:0 false_negative:44563 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:66966 false_positive:0 false_negative:44584 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:66966 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:66966 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_35_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:66966 false_positive:0 false_negative:44586 
