edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.000 precision:0.608 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:28745 false_negative:0 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.050 precision:0.625 recall:0.755 true_negative_rate:0.296 true_positive:33676 true_negative:8514 false_positive:20231 false_negative:10911 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.100 precision:0.791 recall:0.481 true_negative_rate:0.803 true_positive:21462 true_negative:23069 false_positive:5676 false_negative:23125 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.150 precision:0.922 recall:0.329 true_negative_rate:0.957 true_positive:14652 true_negative:27513 false_positive:1232 false_negative:29935 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.200 precision:0.975 recall:0.224 true_negative_rate:0.991 true_positive:9998 true_negative:28489 false_positive:256 false_negative:34589 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.250 precision:0.986 recall:0.170 true_negative_rate:0.996 true_positive:7564 true_negative:28634 false_positive:111 false_negative:37023 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.300 precision:0.991 recall:0.130 true_negative_rate:0.998 true_positive:5806 true_negative:28693 false_positive:52 false_negative:38781 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.350 precision:0.991 recall:0.111 true_negative_rate:0.998 true_positive:4936 true_negative:28698 false_positive:47 false_negative:39651 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.400 precision:0.998 recall:0.094 true_negative_rate:1.000 true_positive:4170 true_negative:28735 false_positive:10 false_negative:40417 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.084 true_negative_rate:1.000 true_positive:3729 true_negative:28745 false_positive:0 false_negative:40858 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:3446 true_negative:28745 false_positive:0 false_negative:41141 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3128 true_negative:28745 false_positive:0 false_negative:41459 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3046 true_negative:28745 false_positive:0 false_negative:41541 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2662 true_negative:28745 false_positive:0 false_negative:41925 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:915 true_negative:28745 false_positive:0 false_negative:43672 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:390 true_negative:28745 false_positive:0 false_negative:44197 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:36 true_negative:28745 false_positive:0 false_negative:44551 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:28745 false_positive:0 false_negative:44586 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:28745 false_positive:0 false_negative:44586 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:28745 false_positive:0 false_negative:44586 
edmonton_ocount_180_osize_21_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:28745 false_positive:0 false_negative:44586 
