edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.000 precision:0.810 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:10428 false_negative:0 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.050 precision:0.842 recall:0.716 true_negative_rate:0.424 true_positive:31931 true_negative:4424 false_positive:6004 false_negative:12656 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.100 precision:0.969 recall:0.453 true_negative_rate:0.939 true_positive:20200 true_negative:9791 false_positive:637 false_negative:24387 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.150 precision:0.984 recall:0.309 true_negative_rate:0.979 true_positive:13783 true_negative:10208 false_positive:220 false_negative:30804 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.200 precision:0.994 recall:0.222 true_negative_rate:0.994 true_positive:9894 true_negative:10370 false_positive:58 false_negative:34693 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.166 true_negative_rate:1.000 true_positive:7410 true_negative:10428 false_positive:0 false_negative:37177 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:1.000 true_positive:5759 true_negative:10428 false_positive:0 false_negative:38828 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:4895 true_negative:10428 false_positive:0 false_negative:39692 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3974 true_negative:10428 false_positive:0 false_negative:40613 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3627 true_negative:10428 false_positive:0 false_negative:40960 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3311 true_negative:10428 false_positive:0 false_negative:41276 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3108 true_negative:10428 false_positive:0 false_negative:41479 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3034 true_negative:10428 false_positive:0 false_negative:41553 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2681 true_negative:10428 false_positive:0 false_negative:41906 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:721 true_negative:10428 false_positive:0 false_negative:43866 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:400 true_negative:10428 false_positive:0 false_negative:44187 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:10428 false_positive:0 false_negative:44562 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10428 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10428 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10428 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_19_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10428 false_positive:0 false_negative:44586 
