fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.000 precision:0.985 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:542 false_negative:0 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.050 precision:0.992 recall:0.935 true_negative_rate:0.513 true_positive:32553 true_negative:278 false_positive:264 false_negative:2278 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.100 precision:0.996 recall:0.779 true_negative_rate:0.815 true_positive:27142 true_negative:442 false_positive:100 false_negative:7689 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.150 precision:0.998 recall:0.596 true_negative_rate:0.934 true_positive:20753 true_negative:506 false_positive:36 false_negative:14078 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.464 true_negative_rate:0.982 true_positive:16163 true_negative:532 false_positive:10 false_negative:18668 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.388 true_negative_rate:0.987 true_positive:13502 true_negative:535 false_positive:7 false_negative:21329 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.300 precision:0.999 recall:0.326 true_negative_rate:0.987 true_positive:11346 true_negative:535 false_positive:7 false_negative:23485 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.271 true_negative_rate:0.989 true_positive:9446 true_negative:536 false_positive:6 false_negative:25385 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.227 true_negative_rate:0.994 true_positive:7904 true_negative:539 false_positive:3 false_negative:26927 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6422 true_negative:542 false_positive:0 false_negative:28409 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:4981 true_negative:542 false_positive:0 false_negative:29850 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3843 true_negative:542 false_positive:0 false_negative:30988 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.076 true_negative_rate:1.000 true_positive:2653 true_negative:542 false_positive:0 false_negative:32178 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1707 true_negative:542 false_positive:0 false_negative:33124 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1248 true_negative:542 false_positive:0 false_negative:33583 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:972 true_negative:542 false_positive:0 false_negative:33859 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:664 true_negative:542 false_positive:0 false_negative:34167 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:211 true_negative:542 false_positive:0 false_negative:34620 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:49 true_negative:542 false_positive:0 false_negative:34782 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:542 false_positive:0 false_negative:34819 
fhw_ocount_120_osize_3_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:542 false_positive:0 false_negative:34830 
