edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.000 precision:0.609 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:28650 false_negative:0 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.050 precision:0.575 recall:0.743 true_negative_rate:0.144 true_positive:33130 true_negative:4122 false_positive:24528 false_negative:11457 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.100 precision:0.783 recall:0.477 true_negative_rate:0.794 true_positive:21276 true_negative:22740 false_positive:5910 false_negative:23311 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.150 precision:0.954 recall:0.315 true_negative_rate:0.977 true_positive:14067 true_negative:27979 false_positive:671 false_negative:30520 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.200 precision:0.989 recall:0.221 true_negative_rate:0.996 true_positive:9866 true_negative:28538 false_positive:112 false_negative:34721 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.250 precision:0.997 recall:0.170 true_negative_rate:0.999 true_positive:7569 true_negative:28625 false_positive:25 false_negative:37018 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:1.000 true_positive:5772 true_negative:28648 false_positive:2 false_negative:38815 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:4894 true_negative:28650 false_positive:0 false_negative:39693 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:4000 true_negative:28650 false_positive:0 false_negative:40587 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3618 true_negative:28650 false_positive:0 false_negative:40969 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3290 true_negative:28650 false_positive:0 false_negative:41297 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:28650 false_positive:0 false_negative:41478 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3049 true_negative:28650 false_positive:0 false_negative:41538 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2690 true_negative:28650 false_positive:0 false_negative:41897 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:827 true_negative:28650 false_positive:0 false_negative:43760 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:404 true_negative:28650 false_positive:0 false_negative:44183 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:47 true_negative:28650 false_positive:0 false_negative:44540 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:28650 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:28650 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:28650 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_29_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:28650 false_positive:0 false_negative:44586 
