csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.000 precision:0.974 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:453 false_negative:0 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.050 precision:0.987 recall:0.968 true_negative_rate:0.523 true_positive:16321 true_negative:237 false_positive:216 false_negative:536 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.100 precision:0.994 recall:0.872 true_negative_rate:0.819 true_positive:14701 true_negative:371 false_positive:82 false_negative:2156 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.150 precision:0.996 recall:0.699 true_negative_rate:0.903 true_positive:11775 true_negative:409 false_positive:44 false_negative:5082 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.200 precision:0.997 recall:0.509 true_negative_rate:0.951 true_positive:8582 true_negative:431 false_positive:22 false_negative:8275 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.250 precision:0.998 recall:0.369 true_negative_rate:0.969 true_positive:6215 true_negative:439 false_positive:14 false_negative:10642 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.300 precision:0.999 recall:0.273 true_negative_rate:0.993 true_positive:4597 true_negative:450 false_positive:3 false_negative:12260 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.205 true_negative_rate:1.000 true_positive:3462 true_negative:453 false_positive:0 false_negative:13395 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.151 true_negative_rate:1.000 true_positive:2540 true_negative:453 false_positive:0 false_negative:14317 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.108 true_negative_rate:1.000 true_positive:1816 true_negative:453 false_positive:0 false_negative:15041 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.069 true_negative_rate:1.000 true_positive:1167 true_negative:453 false_positive:0 false_negative:15690 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.042 true_negative_rate:1.000 true_positive:704 true_negative:453 false_positive:0 false_negative:16153 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.024 true_negative_rate:1.000 true_positive:408 true_negative:453 false_positive:0 false_negative:16449 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:187 true_negative:453 false_positive:0 false_negative:16670 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:67 true_negative:453 false_positive:0 false_negative:16790 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:30 true_negative:453 false_positive:0 false_negative:16827 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:22 true_negative:453 false_positive:0 false_negative:16835 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:13 true_negative:453 false_positive:0 false_negative:16844 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:453 false_positive:0 false_negative:16851 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:453 false_positive:0 false_negative:16852 
csail_ocount_120_osize_3_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:453 false_positive:0 false_negative:16856 
