edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.000 precision:0.415 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:62936 false_negative:0 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.050 precision:0.365 recall:0.763 true_negative_rate:0.059 true_positive:34016 true_negative:3731 false_positive:59205 false_negative:10571 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.100 precision:0.360 recall:0.509 true_negative_rate:0.360 true_positive:22683 true_negative:22668 false_positive:40268 false_negative:21904 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.150 precision:0.507 recall:0.348 true_negative_rate:0.760 true_positive:15507 true_negative:47838 false_positive:15098 false_negative:29080 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.200 precision:0.766 recall:0.251 true_negative_rate:0.946 true_positive:11178 true_negative:59528 false_positive:3408 false_negative:33409 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.250 precision:0.919 recall:0.189 true_negative_rate:0.988 true_positive:8431 true_negative:62191 false_positive:745 false_negative:36156 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.300 precision:0.964 recall:0.140 true_negative_rate:0.996 true_positive:6263 true_negative:62701 false_positive:235 false_negative:38324 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.350 precision:0.984 recall:0.113 true_negative_rate:0.999 true_positive:5054 true_negative:62855 false_positive:81 false_negative:39533 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.400 precision:0.995 recall:0.095 true_negative_rate:1.000 true_positive:4227 true_negative:62913 false_positive:23 false_negative:40360 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.083 true_negative_rate:1.000 true_positive:3717 true_negative:62936 false_positive:0 false_negative:40870 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3363 true_negative:62936 false_positive:0 false_negative:41224 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.071 true_negative_rate:1.000 true_positive:3175 true_negative:62936 false_positive:0 false_negative:41412 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3013 true_negative:62936 false_positive:0 false_negative:41574 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2694 true_negative:62936 false_positive:0 false_negative:41893 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.020 true_negative_rate:1.000 true_positive:898 true_negative:62936 false_positive:0 false_negative:43689 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:380 true_negative:62936 false_positive:0 false_negative:44207 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:71 true_negative:62936 false_positive:0 false_negative:44516 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:62936 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:62936 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:62936 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_34_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:62936 false_positive:0 false_negative:44586 
