edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.000 precision:0.597 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:30043 false_negative:0 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.050 precision:0.542 recall:0.740 true_negative_rate:0.072 true_positive:33002 true_negative:2151 false_positive:27892 false_negative:11585 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.100 precision:0.671 recall:0.470 true_negative_rate:0.658 true_positive:20964 true_negative:19779 false_positive:10264 false_negative:23623 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.150 precision:0.903 recall:0.319 true_negative_rate:0.949 true_positive:14219 true_negative:28512 false_positive:1531 false_negative:30368 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.200 precision:0.974 recall:0.227 true_negative_rate:0.991 true_positive:10116 true_negative:29774 false_positive:269 false_negative:34471 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.250 precision:0.990 recall:0.166 true_negative_rate:0.998 true_positive:7393 true_negative:29971 false_positive:72 false_negative:37194 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.300 precision:0.999 recall:0.129 true_negative_rate:1.000 true_positive:5749 true_negative:30036 false_positive:7 false_negative:38838 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4862 true_negative:30043 false_positive:0 false_negative:39725 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3948 true_negative:30043 false_positive:0 false_negative:40639 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3625 true_negative:30043 false_positive:0 false_negative:40962 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.073 true_negative_rate:1.000 true_positive:3264 true_negative:30043 false_positive:0 false_negative:41323 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3105 true_negative:30043 false_positive:0 false_negative:41482 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3023 true_negative:30043 false_positive:0 false_negative:41564 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2666 true_negative:30043 false_positive:0 false_negative:41921 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:817 true_negative:30043 false_positive:0 false_negative:43770 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:386 true_negative:30043 false_positive:0 false_negative:44201 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:77 true_negative:30043 false_positive:0 false_negative:44510 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:30043 false_positive:0 false_negative:44582 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:30043 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:30043 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_33_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:30043 false_positive:0 false_negative:44586 
