edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.000 precision:0.470 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:50326 false_negative:0 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.050 precision:0.433 recall:0.783 true_negative_rate:0.090 true_positive:34923 true_negative:4517 false_positive:45809 false_negative:9664 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.100 precision:0.457 recall:0.528 true_negative_rate:0.443 true_positive:23563 true_negative:22313 false_positive:28013 false_negative:21024 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.150 precision:0.639 recall:0.359 true_negative_rate:0.821 true_positive:15995 true_negative:41299 false_positive:9027 false_negative:28592 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.200 precision:0.858 recall:0.253 true_negative_rate:0.963 true_positive:11279 true_negative:48458 false_positive:1868 false_negative:33308 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.250 precision:0.931 recall:0.184 true_negative_rate:0.988 true_positive:8211 true_negative:49721 false_positive:605 false_negative:36376 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.300 precision:0.970 recall:0.141 true_negative_rate:0.996 true_positive:6305 true_negative:50130 false_positive:196 false_negative:38282 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.350 precision:0.989 recall:0.111 true_negative_rate:0.999 true_positive:4948 true_negative:50272 false_positive:54 false_negative:39639 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.400 precision:0.998 recall:0.093 true_negative_rate:1.000 true_positive:4142 true_negative:50319 false_positive:7 false_negative:40445 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.082 true_negative_rate:1.000 true_positive:3645 true_negative:50326 false_positive:0 false_negative:40942 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3315 true_negative:50326 false_positive:0 false_negative:41272 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.071 true_negative_rate:1.000 true_positive:3144 true_negative:50326 false_positive:0 false_negative:41443 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2997 true_negative:50326 false_positive:0 false_negative:41590 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2715 true_negative:50326 false_positive:0 false_negative:41872 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:920 true_negative:50326 false_positive:0 false_negative:43667 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:388 true_negative:50326 false_positive:0 false_negative:44199 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:71 true_negative:50326 false_positive:0 false_negative:44516 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:50326 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:50326 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:50326 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_32_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:50326 false_positive:0 false_negative:44586 
