edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.000 precision:0.685 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:20535 false_negative:0 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.050 precision:0.633 recall:0.719 true_negative_rate:0.096 true_positive:32059 true_negative:1973 false_positive:18562 false_negative:12528 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.100 precision:0.752 recall:0.457 true_negative_rate:0.672 true_positive:20389 true_negative:13797 false_positive:6738 false_negative:24198 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.150 precision:0.928 recall:0.309 true_negative_rate:0.948 true_positive:13792 true_negative:19466 false_positive:1069 false_negative:30795 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.200 precision:0.985 recall:0.219 true_negative_rate:0.993 true_positive:9759 true_negative:20389 false_positive:146 false_negative:34828 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.250 precision:0.993 recall:0.166 true_negative_rate:0.997 true_positive:7413 true_negative:20480 false_positive:55 false_negative:37174 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.300 precision:0.995 recall:0.132 true_negative_rate:0.998 true_positive:5874 true_negative:20504 false_positive:31 false_negative:38713 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.350 precision:0.998 recall:0.111 true_negative_rate:0.999 true_positive:4964 true_negative:20523 false_positive:12 false_negative:39623 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3974 true_negative:20534 false_positive:1 false_negative:40613 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3616 true_negative:20535 false_positive:0 false_negative:40971 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3332 true_negative:20535 false_positive:0 false_negative:41255 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3102 true_negative:20535 false_positive:0 false_negative:41485 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3028 true_negative:20535 false_positive:0 false_negative:41559 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2654 true_negative:20535 false_positive:0 false_negative:41933 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:807 true_negative:20535 false_positive:0 false_negative:43780 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:449 true_negative:20535 false_positive:0 false_negative:44138 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:49 true_negative:20535 false_positive:0 false_negative:44538 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:20535 false_positive:0 false_negative:44584 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:20535 false_positive:0 false_negative:44586 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:20535 false_positive:0 false_negative:44586 
edmonton_ocount_60_osize_34_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:20535 false_positive:0 false_negative:44586 
