fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.000 precision:0.953 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:1725 false_negative:0 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.050 precision:0.969 recall:0.939 true_negative_rate:0.397 true_positive:32703 true_negative:685 false_positive:1040 false_negative:2128 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.100 precision:0.985 recall:0.786 true_negative_rate:0.760 true_positive:27376 true_negative:1311 false_positive:414 false_negative:7455 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.150 precision:0.994 recall:0.600 true_negative_rate:0.921 true_positive:20912 true_negative:1589 false_positive:136 false_negative:13919 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.200 precision:0.995 recall:0.470 true_negative_rate:0.952 true_positive:16365 true_negative:1642 false_positive:83 false_negative:18466 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.250 precision:0.996 recall:0.389 true_negative_rate:0.965 true_positive:13566 true_negative:1664 false_positive:61 false_negative:21265 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.300 precision:0.996 recall:0.327 true_negative_rate:0.974 true_positive:11401 true_negative:1681 false_positive:44 false_negative:23430 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.350 precision:0.997 recall:0.271 true_negative_rate:0.983 true_positive:9443 true_negative:1696 false_positive:29 false_negative:25388 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.400 precision:0.999 recall:0.226 true_negative_rate:0.995 true_positive:7880 true_negative:1716 false_positive:9 false_negative:26951 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.186 true_negative_rate:0.998 true_positive:6487 true_negative:1721 false_positive:4 false_negative:28344 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.146 true_negative_rate:1.000 true_positive:5082 true_negative:1725 false_positive:0 false_negative:29749 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.113 true_negative_rate:1.000 true_positive:3921 true_negative:1725 false_positive:0 false_negative:30910 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.080 true_negative_rate:1.000 true_positive:2803 true_negative:1725 false_positive:0 false_negative:32028 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.051 true_negative_rate:1.000 true_positive:1770 true_negative:1725 false_positive:0 false_negative:33061 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1282 true_negative:1725 false_positive:0 false_negative:33549 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:981 true_negative:1725 false_positive:0 false_negative:33850 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:678 true_negative:1725 false_positive:0 false_negative:34153 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:233 true_negative:1725 false_positive:0 false_negative:34598 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:57 true_negative:1725 false_positive:0 false_negative:34774 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:15 true_negative:1725 false_positive:0 false_negative:34816 
fhw_ocount_180_osize_4_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1725 false_positive:0 false_negative:34830 
