edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.000 precision:0.994 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:288 false_negative:0 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.050 precision:0.998 recall:0.702 true_negative_rate:0.816 true_positive:31296 true_negative:235 false_positive:53 false_negative:13291 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.100 precision:0.999 recall:0.442 true_negative_rate:0.944 true_positive:19687 true_negative:272 false_positive:16 false_negative:24900 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.304 true_negative_rate:0.962 true_positive:13535 true_negative:277 false_positive:11 false_negative:31052 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.216 true_negative_rate:0.962 true_positive:9653 true_negative:277 false_positive:11 false_negative:34934 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.165 true_negative_rate:0.965 true_positive:7373 true_negative:278 false_positive:10 false_negative:37214 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.300 precision:0.999 recall:0.128 true_negative_rate:0.972 true_positive:5717 true_negative:280 false_positive:8 false_negative:38870 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:0.993 true_positive:4867 true_negative:286 false_positive:2 false_negative:39720 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.400 precision:0.999 recall:0.089 true_negative_rate:0.993 true_positive:3949 true_negative:286 false_positive:2 false_negative:40638 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.450 precision:0.999 recall:0.081 true_negative_rate:0.993 true_positive:3623 true_negative:286 false_positive:2 false_negative:40964 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3335 true_negative:288 false_positive:0 false_negative:41252 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:288 false_positive:0 false_negative:41478 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3050 true_negative:288 false_positive:0 false_negative:41537 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2698 true_negative:288 false_positive:0 false_negative:41889 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:669 true_negative:288 false_positive:0 false_negative:43918 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:402 true_negative:288 false_positive:0 false_negative:44185 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:288 false_positive:0 false_negative:44581 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:288 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:288 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:288 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_4_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:288 false_positive:0 false_negative:44586 
