csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.000 precision:0.967 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:567 false_negative:0 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.050 precision:0.976 recall:0.967 true_negative_rate:0.300 true_positive:16308 true_negative:170 false_positive:397 false_negative:549 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.100 precision:0.991 recall:0.871 true_negative_rate:0.767 true_positive:14686 true_negative:435 false_positive:132 false_negative:2171 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.150 precision:0.996 recall:0.702 true_negative_rate:0.915 true_positive:11830 true_negative:519 false_positive:48 false_negative:5027 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.200 precision:0.997 recall:0.510 true_negative_rate:0.958 true_positive:8590 true_negative:543 false_positive:24 false_negative:8267 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.250 precision:0.998 recall:0.367 true_negative_rate:0.974 true_positive:6189 true_negative:552 false_positive:15 false_negative:10668 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.300 precision:0.998 recall:0.274 true_negative_rate:0.984 true_positive:4627 true_negative:558 false_positive:9 false_negative:12230 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.206 true_negative_rate:0.995 true_positive:3467 true_negative:564 false_positive:3 false_negative:13390 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.152 true_negative_rate:1.000 true_positive:2557 true_negative:567 false_positive:0 false_negative:14300 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:1846 true_negative:567 false_positive:0 false_negative:15011 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:1188 true_negative:567 false_positive:0 false_negative:15669 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.043 true_negative_rate:1.000 true_positive:719 true_negative:567 false_positive:0 false_negative:16138 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.025 true_negative_rate:1.000 true_positive:425 true_negative:567 false_positive:0 false_negative:16432 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:192 true_negative:567 false_positive:0 false_negative:16665 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:69 true_negative:567 false_positive:0 false_negative:16788 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:28 true_negative:567 false_positive:0 false_negative:16829 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:21 true_negative:567 false_positive:0 false_negative:16836 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:15 true_negative:567 false_positive:0 false_negative:16842 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:567 false_positive:0 false_negative:16850 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:567 false_positive:0 false_negative:16852 
csail_ocount_80_osize_4_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:567 false_positive:0 false_negative:16856 
