aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.000 precision:0.998 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:83 false_negative:0 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.050 precision:1.000 recall:0.857 true_negative_rate:1.000 true_positive:32393 true_negative:83 false_positive:0 false_negative:5402 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.100 precision:1.000 recall:0.717 true_negative_rate:1.000 true_positive:27096 true_negative:83 false_positive:0 false_negative:10699 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.618 true_negative_rate:1.000 true_positive:23343 true_negative:83 false_positive:0 false_negative:14452 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.540 true_negative_rate:1.000 true_positive:20400 true_negative:83 false_positive:0 false_negative:17395 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.475 true_negative_rate:1.000 true_positive:17957 true_negative:83 false_positive:0 false_negative:19838 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:1.000 true_positive:15871 true_negative:83 false_positive:0 false_negative:21924 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.356 true_negative_rate:1.000 true_positive:13470 true_negative:83 false_positive:0 false_negative:24325 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:10818 true_negative:83 false_positive:0 false_negative:26977 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:1.000 true_positive:8696 true_negative:83 false_positive:0 false_negative:29099 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6946 true_negative:83 false_positive:0 false_negative:30849 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5305 true_negative:83 false_positive:0 false_negative:32490 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.099 true_negative_rate:1.000 true_positive:3760 true_negative:83 false_positive:0 false_negative:34035 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2517 true_negative:83 false_positive:0 false_negative:35278 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1299 true_negative:83 false_positive:0 false_negative:36496 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:506 true_negative:83 false_positive:0 false_negative:37289 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:60 true_negative:83 false_positive:0 false_negative:37735 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:83 false_positive:0 false_negative:37760 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:83 false_positive:0 false_negative:37770 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:83 false_positive:0 false_negative:37783 
aces_publicb_ocount_20_osize_3_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:83 false_positive:0 false_negative:37794 
