csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.000 precision:0.948 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:921 false_negative:0 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.050 precision:0.963 recall:0.944 true_negative_rate:0.332 true_positive:15912 true_negative:306 false_positive:615 false_negative:945 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.100 precision:0.980 recall:0.814 true_negative_rate:0.699 true_positive:13719 true_negative:644 false_positive:277 false_negative:3138 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.150 precision:0.988 recall:0.613 true_negative_rate:0.865 true_positive:10327 true_negative:797 false_positive:124 false_negative:6530 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.200 precision:0.994 recall:0.431 true_negative_rate:0.952 true_positive:7269 true_negative:877 false_positive:44 false_negative:9588 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.250 precision:0.998 recall:0.315 true_negative_rate:0.986 true_positive:5310 true_negative:908 false_positive:13 false_negative:11547 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.300 precision:0.999 recall:0.240 true_negative_rate:0.996 true_positive:4049 true_negative:917 false_positive:4 false_negative:12808 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.185 true_negative_rate:0.996 true_positive:3121 true_negative:917 false_positive:4 false_negative:13736 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.400 precision:0.999 recall:0.136 true_negative_rate:0.997 true_positive:2297 true_negative:918 false_positive:3 false_negative:14560 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.101 true_negative_rate:1.000 true_positive:1706 true_negative:921 false_positive:0 false_negative:15151 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.064 true_negative_rate:1.000 true_positive:1083 true_negative:921 false_positive:0 false_negative:15774 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:622 true_negative:921 false_positive:0 false_negative:16235 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:350 true_negative:921 false_positive:0 false_negative:16507 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:140 true_negative:921 false_positive:0 false_negative:16717 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:46 true_negative:921 false_positive:0 false_negative:16811 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:28 true_negative:921 false_positive:0 false_negative:16829 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:19 true_negative:921 false_positive:0 false_negative:16838 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:12 true_negative:921 false_positive:0 false_negative:16845 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:921 false_positive:0 false_negative:16851 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:4 true_negative:921 false_positive:0 false_negative:16853 
csail_ocount_120_osize_4_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:921 false_positive:0 false_negative:16856 
