csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.000 precision:0.984 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:271 false_negative:0 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.050 precision:0.988 recall:0.976 true_negative_rate:0.244 true_positive:16449 true_negative:66 false_positive:205 false_negative:408 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.100 precision:0.992 recall:0.902 true_negative_rate:0.576 true_positive:15213 true_negative:156 false_positive:115 false_negative:1644 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.150 precision:0.995 recall:0.753 true_negative_rate:0.779 true_positive:12691 true_negative:211 false_positive:60 false_negative:4166 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.200 precision:0.998 recall:0.565 true_negative_rate:0.926 true_positive:9526 true_negative:251 false_positive:20 false_negative:7331 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.250 precision:0.999 recall:0.408 true_negative_rate:0.978 true_positive:6880 true_negative:265 false_positive:6 false_negative:9977 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.303 true_negative_rate:0.993 true_positive:5114 true_negative:269 false_positive:2 false_negative:11743 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.226 true_negative_rate:1.000 true_positive:3806 true_negative:271 false_positive:0 false_negative:13051 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.160 true_negative_rate:1.000 true_positive:2703 true_negative:271 false_positive:0 false_negative:14154 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.106 true_negative_rate:1.000 true_positive:1788 true_negative:271 false_positive:0 false_negative:15069 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:1125 true_negative:271 false_positive:0 false_negative:15732 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.040 true_negative_rate:1.000 true_positive:673 true_negative:271 false_positive:0 false_negative:16184 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:374 true_negative:271 false_positive:0 false_negative:16483 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:164 true_negative:271 false_positive:0 false_negative:16693 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:58 true_negative:271 false_positive:0 false_negative:16799 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:28 true_negative:271 false_positive:0 false_negative:16829 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:20 true_negative:271 false_positive:0 false_negative:16837 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:13 true_negative:271 false_positive:0 false_negative:16844 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:271 false_positive:0 false_negative:16851 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:271 false_positive:0 false_negative:16854 
csail_ocount_40_osize_4_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:271 false_positive:0 false_negative:16856 
