aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.000 precision:0.950 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:1971 false_negative:0 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.050 precision:0.988 recall:0.863 true_negative_rate:0.798 true_positive:32635 true_negative:1572 false_positive:399 false_negative:5160 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.100 precision:0.996 recall:0.721 true_negative_rate:0.946 true_positive:27245 true_negative:1865 false_positive:106 false_negative:10550 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.620 true_negative_rate:0.987 true_positive:23439 true_negative:1946 false_positive:25 false_negative:14356 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.540 true_negative_rate:0.992 true_positive:20422 true_negative:1955 false_positive:16 false_negative:17373 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.476 true_negative_rate:0.996 true_positive:17974 true_negative:1963 false_positive:8 false_negative:19821 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:0.999 true_positive:15886 true_negative:1969 false_positive:2 false_negative:21909 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.357 true_negative_rate:0.999 true_positive:13483 true_negative:1969 false_positive:2 false_negative:24312 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.287 true_negative_rate:0.999 true_positive:10831 true_negative:1969 false_positive:2 false_negative:26964 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.231 true_negative_rate:1.000 true_positive:8730 true_negative:1971 false_positive:0 false_negative:29065 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6962 true_negative:1971 false_positive:0 false_negative:30833 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5309 true_negative:1971 false_positive:0 false_negative:32486 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3777 true_negative:1971 false_positive:0 false_negative:34018 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2535 true_negative:1971 false_positive:0 false_negative:35260 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:1317 true_negative:1971 false_positive:0 false_negative:36478 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.014 true_negative_rate:1.000 true_positive:511 true_negative:1971 false_positive:0 false_negative:37284 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:60 true_negative:1971 false_positive:0 false_negative:37735 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:1971 false_positive:0 false_negative:37760 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:26 true_negative:1971 false_positive:0 false_negative:37769 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:1971 false_positive:0 false_negative:37782 
aces_publicb_ocount_160_osize_6_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1971 false_positive:0 false_negative:37794 
