fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.000 precision:0.991 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:320 false_negative:0 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.050 precision:0.993 recall:0.934 true_negative_rate:0.234 true_positive:32527 true_negative:75 false_positive:245 false_negative:2304 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.100 precision:0.997 recall:0.780 true_negative_rate:0.719 true_positive:27167 true_negative:230 false_positive:90 false_negative:7664 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.594 true_negative_rate:0.841 true_positive:20678 true_negative:269 false_positive:51 false_negative:14153 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.465 true_negative_rate:0.934 true_positive:16194 true_negative:299 false_positive:21 false_negative:18637 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.389 true_negative_rate:0.978 true_positive:13553 true_negative:313 false_positive:7 false_negative:21278 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.326 true_negative_rate:0.997 true_positive:11369 true_negative:319 false_positive:1 false_negative:23462 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.271 true_negative_rate:0.997 true_positive:9447 true_negative:319 false_positive:1 false_negative:25384 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.226 true_negative_rate:0.997 true_positive:7888 true_negative:319 false_positive:1 false_negative:26943 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6416 true_negative:320 false_positive:0 false_negative:28415 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:4970 true_negative:320 false_positive:0 false_negative:29861 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3846 true_negative:320 false_positive:0 false_negative:30985 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:2670 true_negative:320 false_positive:0 false_negative:32161 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1703 true_negative:320 false_positive:0 false_negative:33128 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1251 true_negative:320 false_positive:0 false_negative:33580 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:970 true_negative:320 false_positive:0 false_negative:33861 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:668 true_negative:320 false_positive:0 false_negative:34163 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:217 true_negative:320 false_positive:0 false_negative:34614 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:47 true_negative:320 false_positive:0 false_negative:34784 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:320 false_positive:0 false_negative:34818 
fhw_ocount_20_osize_5_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:320 false_positive:0 false_negative:34830 
