csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.000 precision:0.905 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:1760 false_negative:0 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.050 precision:0.905 recall:0.965 true_negative_rate:0.031 true_positive:16275 true_negative:54 false_positive:1706 false_negative:582 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.100 precision:0.911 recall:0.871 true_negative_rate:0.183 true_positive:14682 true_negative:322 false_positive:1438 false_negative:2175 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.150 precision:0.923 recall:0.708 true_negative_rate:0.431 true_positive:11934 true_negative:758 false_positive:1002 false_negative:4923 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.200 precision:0.949 recall:0.525 true_negative_rate:0.727 true_positive:8845 true_negative:1280 false_positive:480 false_negative:8012 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.250 precision:0.970 recall:0.375 true_negative_rate:0.889 true_positive:6317 true_negative:1565 false_positive:195 false_negative:10540 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.300 precision:0.986 recall:0.279 true_negative_rate:0.962 true_positive:4700 true_negative:1693 false_positive:67 false_negative:12157 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.350 precision:0.994 recall:0.212 true_negative_rate:0.988 true_positive:3576 true_negative:1739 false_positive:21 false_negative:13281 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.156 true_negative_rate:1.000 true_positive:2629 true_negative:1760 false_positive:0 false_negative:14228 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.111 true_negative_rate:1.000 true_positive:1867 true_negative:1760 false_positive:0 false_negative:14990 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:1188 true_negative:1760 false_positive:0 false_negative:15669 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.044 true_negative_rate:1.000 true_positive:750 true_negative:1760 false_positive:0 false_negative:16107 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.026 true_negative_rate:1.000 true_positive:439 true_negative:1760 false_positive:0 false_negative:16418 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.012 true_negative_rate:1.000 true_positive:207 true_negative:1760 false_positive:0 false_negative:16650 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.005 true_negative_rate:1.000 true_positive:82 true_negative:1760 false_positive:0 false_negative:16775 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:37 true_negative:1760 false_positive:0 false_negative:16820 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:22 true_negative:1760 false_positive:0 false_negative:16835 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:15 true_negative:1760 false_positive:0 false_negative:16842 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:8 true_negative:1760 false_positive:0 false_negative:16849 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:4 true_negative:1760 false_positive:0 false_negative:16853 
csail_ocount_40_osize_11_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1760 false_positive:0 false_negative:16856 
