aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.000 precision:0.911 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:3700 false_negative:0 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.050 precision:0.903 recall:0.864 true_negative_rate:0.050 true_positive:32652 true_negative:186 false_positive:3514 false_negative:5143 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.100 precision:0.912 recall:0.724 true_negative_rate:0.282 true_positive:27372 true_negative:1043 false_positive:2657 false_negative:10423 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.150 precision:0.983 recall:0.619 true_negative_rate:0.892 true_positive:23403 true_negative:3300 false_positive:400 false_negative:14392 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.200 precision:0.991 recall:0.544 true_negative_rate:0.951 true_positive:20568 true_negative:3517 false_positive:183 false_negative:17227 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.250 precision:0.993 recall:0.478 true_negative_rate:0.965 true_positive:18084 true_negative:3572 false_positive:128 false_negative:19711 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.300 precision:0.999 recall:0.423 true_negative_rate:0.995 true_positive:15990 true_negative:3680 false_positive:20 false_negative:21805 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.360 true_negative_rate:0.997 true_positive:13593 true_negative:3689 false_positive:11 false_negative:24202 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.400 precision:0.999 recall:0.290 true_negative_rate:0.997 true_positive:10979 true_negative:3689 false_positive:11 false_negative:26816 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.450 precision:0.999 recall:0.234 true_negative_rate:0.997 true_positive:8847 true_negative:3689 false_positive:11 false_negative:28948 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.187 true_negative_rate:1.000 true_positive:7069 true_negative:3700 false_positive:0 false_negative:30726 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:5407 true_negative:3700 false_positive:0 false_negative:32388 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.103 true_negative_rate:1.000 true_positive:3883 true_negative:3700 false_positive:0 false_negative:33912 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:2640 true_negative:3700 false_positive:0 false_negative:35155 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.038 true_negative_rate:1.000 true_positive:1444 true_negative:3700 false_positive:0 false_negative:36351 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:590 true_negative:3700 false_positive:0 false_negative:37205 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:73 true_negative:3700 false_positive:0 false_negative:37722 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:37 true_negative:3700 false_positive:0 false_negative:37758 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:26 true_negative:3700 false_positive:0 false_negative:37769 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:3700 false_positive:0 false_negative:37782 
aces_publicb_ocount_20_osize_23_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3700 false_positive:0 false_negative:37794 
