fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.000 precision:0.958 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:1509 false_negative:0 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.050 precision:0.971 recall:0.936 true_negative_rate:0.347 true_positive:32609 true_negative:524 false_positive:985 false_negative:2222 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.100 precision:0.985 recall:0.785 true_negative_rate:0.731 true_positive:27327 true_negative:1103 false_positive:406 false_negative:7504 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.150 precision:0.992 recall:0.601 true_negative_rate:0.892 true_positive:20943 true_negative:1346 false_positive:163 false_negative:13888 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.200 precision:0.997 recall:0.469 true_negative_rate:0.964 true_positive:16346 true_negative:1455 false_positive:54 false_negative:18485 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.250 precision:0.997 recall:0.392 true_negative_rate:0.977 true_positive:13645 true_negative:1474 false_positive:35 false_negative:21186 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.300 precision:0.998 recall:0.328 true_negative_rate:0.985 true_positive:11427 true_negative:1486 false_positive:23 false_negative:23404 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.350 precision:0.998 recall:0.273 true_negative_rate:0.989 true_positive:9521 true_negative:1493 false_positive:16 false_negative:25310 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.400 precision:0.999 recall:0.229 true_negative_rate:0.997 true_positive:7971 true_negative:1505 false_positive:4 false_negative:26860 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.187 true_negative_rate:1.000 true_positive:6516 true_negative:1509 false_positive:0 false_negative:28315 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.145 true_negative_rate:1.000 true_positive:5058 true_negative:1509 false_positive:0 false_negative:29773 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.114 true_negative_rate:1.000 true_positive:3972 true_negative:1509 false_positive:0 false_negative:30859 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.080 true_negative_rate:1.000 true_positive:2780 true_negative:1509 false_positive:0 false_negative:32051 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.052 true_negative_rate:1.000 true_positive:1808 true_negative:1509 false_positive:0 false_negative:33023 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1291 true_negative:1509 false_positive:0 false_negative:33540 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.029 true_negative_rate:1.000 true_positive:999 true_negative:1509 false_positive:0 false_negative:33832 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.020 true_negative_rate:1.000 true_positive:687 true_negative:1509 false_positive:0 false_negative:34144 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:262 true_negative:1509 false_positive:0 false_negative:34569 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:64 true_negative:1509 false_positive:0 false_negative:34767 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:16 true_negative:1509 false_positive:0 false_negative:34815 
fhw_ocount_100_osize_5_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1509 false_positive:0 false_negative:34830 
