csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.000 precision:0.956 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:781 false_negative:0 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.050 precision:0.956 recall:0.976 true_negative_rate:0.026 true_positive:16454 true_negative:20 false_positive:761 false_negative:403 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.100 precision:0.958 recall:0.905 true_negative_rate:0.134 true_positive:15258 true_negative:105 false_positive:676 false_negative:1599 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.150 precision:0.960 recall:0.763 true_negative_rate:0.306 true_positive:12862 true_negative:239 false_positive:542 false_negative:3995 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.200 precision:0.963 recall:0.577 true_negative_rate:0.522 true_positive:9720 true_negative:408 false_positive:373 false_negative:7137 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.250 precision:0.975 recall:0.420 true_negative_rate:0.766 true_positive:7082 true_negative:598 false_positive:183 false_negative:9775 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.300 precision:0.988 recall:0.311 true_negative_rate:0.919 true_positive:5248 true_negative:718 false_positive:63 false_negative:11609 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.350 precision:0.995 recall:0.232 true_negative_rate:0.974 true_positive:3912 true_negative:761 false_positive:20 false_negative:12945 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.167 true_negative_rate:0.999 true_positive:2819 true_negative:780 false_positive:1 false_negative:14038 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.113 true_negative_rate:1.000 true_positive:1912 true_negative:781 false_positive:0 false_negative:14945 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.073 true_negative_rate:1.000 true_positive:1226 true_negative:781 false_positive:0 false_negative:15631 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.043 true_negative_rate:1.000 true_positive:721 true_negative:781 false_positive:0 false_negative:16136 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.026 true_negative_rate:1.000 true_positive:434 true_negative:781 false_positive:0 false_negative:16423 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.012 true_negative_rate:1.000 true_positive:210 true_negative:781 false_positive:0 false_negative:16647 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.005 true_negative_rate:1.000 true_positive:78 true_negative:781 false_positive:0 false_negative:16779 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:35 true_negative:781 false_positive:0 false_negative:16822 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:20 true_negative:781 false_positive:0 false_negative:16837 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:15 true_negative:781 false_positive:0 false_negative:16842 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:781 false_positive:0 false_negative:16850 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:4 true_negative:781 false_positive:0 false_negative:16853 
csail_ocount_20_osize_10_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:781 false_positive:0 false_negative:16856 
