edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.000 precision:0.946 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:2532 false_negative:0 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.050 precision:0.992 recall:0.704 true_negative_rate:0.894 true_positive:31391 true_negative:2264 false_positive:268 false_negative:13196 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.100 precision:0.998 recall:0.444 true_negative_rate:0.985 true_positive:19781 true_negative:2495 false_positive:37 false_negative:24806 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.306 true_negative_rate:0.997 true_positive:13623 true_negative:2525 false_positive:7 false_negative:30964 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.217 true_negative_rate:0.997 true_positive:9684 true_negative:2525 false_positive:7 false_negative:34903 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.250 precision:0.999 recall:0.166 true_negative_rate:0.998 true_positive:7399 true_negative:2527 false_positive:5 false_negative:37188 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:1.000 true_positive:5749 true_negative:2532 false_positive:0 false_negative:38838 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4859 true_negative:2532 false_positive:0 false_negative:39728 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.088 true_negative_rate:1.000 true_positive:3943 true_negative:2532 false_positive:0 false_negative:40644 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3615 true_negative:2532 false_positive:0 false_negative:40972 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3321 true_negative:2532 false_positive:0 false_negative:41266 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3108 true_negative:2532 false_positive:0 false_negative:41479 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3050 true_negative:2532 false_positive:0 false_negative:41537 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2694 true_negative:2532 false_positive:0 false_negative:41893 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:668 true_negative:2532 false_positive:0 false_negative:43919 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:403 true_negative:2532 false_positive:0 false_negative:44184 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:2532 false_positive:0 false_negative:44581 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2532 false_positive:0 false_negative:44586 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2532 false_positive:0 false_negative:44586 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2532 false_positive:0 false_negative:44586 
edmonton_ocount_180_osize_7_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2532 false_positive:0 false_negative:44586 
