aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.000 precision:0.747 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:12796 false_negative:0 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.050 precision:0.753 recall:0.874 true_negative_rate:0.153 true_positive:33018 true_negative:1956 false_positive:10840 false_negative:4777 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.100 precision:0.887 recall:0.740 true_negative_rate:0.722 true_positive:27971 true_negative:9241 false_positive:3555 false_negative:9824 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.150 precision:0.969 recall:0.630 true_negative_rate:0.940 true_positive:23802 true_negative:12032 false_positive:764 false_negative:13993 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.200 precision:0.986 recall:0.551 true_negative_rate:0.977 true_positive:20827 true_negative:12500 false_positive:296 false_negative:16968 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.250 precision:0.993 recall:0.486 true_negative_rate:0.990 true_positive:18383 true_negative:12670 false_positive:126 false_negative:19412 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.300 precision:0.995 recall:0.427 true_negative_rate:0.993 true_positive:16136 true_negative:12707 false_positive:89 false_negative:21659 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.350 precision:0.996 recall:0.364 true_negative_rate:0.996 true_positive:13743 true_negative:12747 false_positive:49 false_negative:24052 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.400 precision:0.998 recall:0.294 true_negative_rate:0.998 true_positive:11108 true_negative:12771 false_positive:25 false_negative:26687 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.450 precision:0.998 recall:0.235 true_negative_rate:0.999 true_positive:8875 true_negative:12778 false_positive:18 false_negative:28920 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.500 precision:0.998 recall:0.189 true_negative_rate:0.999 true_positive:7157 true_negative:12785 false_positive:11 false_negative:30638 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.146 true_negative_rate:1.000 true_positive:5507 true_negative:12795 false_positive:1 false_negative:32288 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.102 true_negative_rate:1.000 true_positive:3849 true_negative:12796 false_positive:0 false_negative:33946 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:2652 true_negative:12796 false_positive:0 false_negative:35143 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.038 true_negative_rate:1.000 true_positive:1440 true_negative:12796 false_positive:0 false_negative:36355 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:577 true_negative:12796 false_positive:0 false_negative:37218 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:103 true_negative:12796 false_positive:0 false_negative:37692 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:32 true_negative:12796 false_positive:0 false_negative:37763 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:26 true_negative:12796 false_positive:0 false_negative:37769 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:12796 false_positive:0 false_negative:37783 
aces_publicb_ocount_140_osize_16_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:12796 false_positive:0 false_negative:37794 
