fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.000 precision:0.864 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:2341 false_negative:0 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.050 precision:0.923 recall:0.924 true_negative_rate:0.507 true_positive:13765 true_negative:1186 false_positive:1155 false_negative:1128 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.100 precision:0.978 recall:0.805 true_negative_rate:0.884 true_positive:11982 true_negative:2069 false_positive:272 false_negative:2911 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.150 precision:0.992 recall:0.669 true_negative_rate:0.967 true_positive:9957 true_negative:2263 false_positive:78 false_negative:4936 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.200 precision:0.996 recall:0.556 true_negative_rate:0.986 true_positive:8279 true_negative:2308 false_positive:33 false_negative:6614 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.250 precision:0.997 recall:0.482 true_negative_rate:0.991 true_positive:7171 true_negative:2320 false_positive:21 false_negative:7722 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.300 precision:0.997 recall:0.422 true_negative_rate:0.993 true_positive:6281 true_negative:2324 false_positive:17 false_negative:8612 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.350 precision:0.998 recall:0.381 true_negative_rate:0.994 true_positive:5677 true_negative:2328 false_positive:13 false_negative:9216 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.400 precision:0.999 recall:0.336 true_negative_rate:0.997 true_positive:5007 true_negative:2335 false_positive:6 false_negative:9886 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.291 true_negative_rate:0.998 true_positive:4338 true_negative:2337 false_positive:4 false_negative:10555 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.258 true_negative_rate:1.000 true_positive:3846 true_negative:2340 false_positive:1 false_negative:11047 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.226 true_negative_rate:1.000 true_positive:3366 true_negative:2340 false_positive:1 false_negative:11527 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.196 true_negative_rate:1.000 true_positive:2917 true_negative:2340 false_positive:1 false_negative:11976 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.156 true_negative_rate:1.000 true_positive:2324 true_negative:2341 false_positive:0 false_negative:12569 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.122 true_negative_rate:1.000 true_positive:1822 true_negative:2341 false_positive:0 false_negative:13071 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.092 true_negative_rate:1.000 true_positive:1366 true_negative:2341 false_positive:0 false_negative:13527 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.062 true_negative_rate:1.000 true_positive:928 true_negative:2341 false_positive:0 false_negative:13965 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.030 true_negative_rate:1.000 true_positive:453 true_negative:2341 false_positive:0 false_negative:14440 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:150 true_negative:2341 false_positive:0 false_negative:14743 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:36 true_negative:2341 false_positive:0 false_negative:14857 
fr101_ocount_160_osize_5_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2341 false_positive:0 false_negative:14892 
